node,page_rank,betweenness,closeness,indegree,outdegree
media/libvorbis/lib/modes/setup_44p51,1.803,42.889,1.661,1,5
mozilla/dom/TVTuner,1.326,0.0,0.467,0,0
media/webrtc/trunk/webrtc/modules/audio_processing/agc/digital_agc,1.56,24.571,1.662,2,10
media/webrtc/trunk/webrtc/system_wrappers/source/data_log_unittest,1.326,0.0,1.662,0,11
build/stlport/src/c_locale_win32/c_locale_win32,5.458,21941.344,1.662,16,6
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/dtmf_buffer,3.589,8073.529,1.662,6,4
media/libjpeg/jdmrgext,1.462,0.0,1.661,1,5
usr/include/unicode/regex,1.326,0.0,0.467,0,0
media/webrtc/trunk/webrtc/modules/video_coding/main/source/timing_unittest,1.326,0.0,1.662,0,13
intl/icu/source/i18n/region_impl,1.381,0.0,1.661,1,5
usr/include/unicode/ucol,1.326,0.0,0.467,0,0
mach/host_info,1.326,0.0,0.467,0,0
mozilla/dom/AsyncHelper,1.326,0.0,0.467,0,0
js/src/ctypes/libffi/testsuite/libffi.call/negint,1.326,0.0,1.661,0,3
Types_AC,1.326,0.0,0.467,0,0
dom/bluetooth/BluetoothHfpManagerBase,1.531,44.61,1.661,4,3
js/src/ctypes/libffi/src/powerpc/asm,1.326,0.0,0.467,0,0
intl/uconv/ucvlatin/cp1253,1.326,0.0,0.467,0,0
mozilla/CDMProxy,1.326,0.0,0.467,0,0
media/webrtc/trunk/webrtc/common_audio/wav_file,2.215,17232.472,1.662,4,8
nsITreeBoxObject,1.326,0.0,0.467,0,0
gfx/2d/Coord,8.733,6.266,1.661,2,3
media/webrtc/trunk/tools/gyp/test/mac/cflags/cppfile,1.326,0.0,0.467,0,0
dom/media/fmp4/ffmpeg/libav54/include/libavcodec/vda,1.326,0.0,1.662,0,3
mozilla/_ipdltest/PTestDescSubsubParent,1.326,0.0,0.467,0,0
toolkit/components/downloads/nsDownloadScanner,1.382,0.0,1.662,1,21
dom/workers/ServiceWorkerManager,3.753,436762.968,1.662,4,65
parser/html/nsHtml5RefPtr,1.482,22.693,1.662,2,5
security/nss/lib/freebl/ecl/ecp,4.646,6.75,1.661,14,3
js/src/gdb/tests/typedef-printers,1.326,0.0,1.661,0,2
media/mtransport/test/buffered_stun_socket_unittest,1.326,0.0,1.662,0,24
memory/jemalloc/src/test/unit/prof_reset,1.326,0.0,1.661,0,3
netwerk/protocol/wyciwyg/nsWyciwyg,2.129,27.999,1.662,5,3
mozilla/dom/MediaErrorBinding,1.326,0.0,0.467,0,0
usr/include/linux/net,1.326,0.0,0.467,0,0
dom/bluetooth/bluedroid/BluetoothDaemonSetupInterface,2.152,350.27,1.662,5,4
services/crypto/component/nsSyncJPAKE,6.271,370037.643,1.662,52,21
nsIToolkitProfile,1.326,0.0,0.467,0,0
gfx/skia/trunk/include/core/SkTemplates,28.038,16984.153,1.662,122,5
media/mtransport/test/transport_unittests,1.326,0.0,1.662,0,47
processthreadsapi,1.326,0.0,0.467,0,0
gfx/skia/trunk/src/utils/SkBitSet,1.647,1455.156,1.662,4,6
gfx/angle/src/libGLESv2/renderer/d3d/d3d11/Query11,1.462,0.196,1.661,2,12
js/public/WeakMapPtr,1.326,0.0,1.661,0,2
intl/icu/source/tools/icupkg/icupkg,1.326,0.0,1.662,0,10
security/nss/cmd/pk12util/pk12util,1.352,0.0,1.661,1,44
gfx/skia/trunk/include/core/SkPaintOptionsAndroid,1.714,270.631,1.662,5,6
security/nss/lib/zlib/minigzip,39.845,183088.398,1.662,8,8
