node,page_rank,betweenness,closeness,indegree,outdegree
js/xpconnect/src/BackstagePass,1.57,14.562,1.757,4,6
mozilla/dom/SVGFEMergeNodeElementBinding,1.366,0.0,0.482,0,0
ipc/glue/InputStreamUtils,1.845,7368.167,1.757,8,15
gfx/skia/trunk/src/xml/SkJS,1.366,0.0,1.757,0,16
toolkit/components/places/nsPlacesModule,1.366,0.0,1.757,0,11
content/media/fmp4/ffmpeg/libav55/include/libavutil/cpu,1.512,0.0,1.757,1,1
build/stlport/stlport/stl/_string_sum_methods,1.366,0.0,0.482,0,1
security/nss/lib/libpkix/pkix/store/pkix_store,4.827,341.723,1.757,17,8
gfx/skia/trunk/src/opts/SkBitmapProcState_opts_SSSE3,1.602,12.847,1.757,2,7
dom/xslt/xslt/txXSLTEnvironmentFunctionCall,1.366,0.0,1.757,0,18
media/libopus/celt/entenc,6.753,88720.215,1.757,22,9
gfx/skia/trunk/include/utils/win/SkTScopedComPtr,1.702,0.907,1.757,8,3
usr/include/net/if_arp,1.366,0.0,0.482,0,0
security/sandbox/chromium/base/macros,9.471,62853.092,1.757,12,4
content/media/webspeech/synth/SpeechSynthesisVoice,1.607,184.276,1.757,4,17
afxwin,1.366,0.0,0.482,0,0
hal/fallback/FallbackThreadPriority,1.366,0.0,1.757,0,2
mozilla/dom/SVGAnimatedPreserveAspectRatioBinding,1.366,0.0,0.482,0,0
media/webrtc/trunk/webrtc/voice_engine/test/auto_test/standard/hardware_before_streaming_test,1.366,0.0,1.757,0,8
nsIToolkitProfile,1.366,0.0,0.482,0,0
gfx/angle/include/GLES3/gl3ext,3.715,0.0,1.756,1,0
gfx/harfbuzz/src/hb-shaper-list,4.872,0.0,1.757,8,0
dom/plugins/base/nsPluginPlayPreviewInfo,1.617,1.095,1.757,2,6
gfx/skia/trunk/src/core/SkRegion_path,2.059,4895.828,1.757,8,19
sys/auxv,1.366,0.0,0.482,0,0
intl/icu/source/common/unicode/utf_old,1.676,0.0,1.757,1,0
media/libvpx/vp9/encoder/vp9_variance_c,1.82,8.98,1.757,4,9
usr/include/linux/auxvec,1.366,0.0,0.482,0,0
media/webrtc/signaling/src/media/cip_Sipcc_CodecMask,1.392,0.0,1.757,1,0
media/webrtc/trunk/webrtc/common_audio/signal_processing/spl_sqrt_floor_mips,1.366,0.0,1.757,0,2
modules/freetype2/src/autofit/aflatin2,1.591,0.0,0.482,1,6
js/src/jscntxtinlines,18.637,20817.085,1.757,43,22
layout/style/nsStyleConsts,23.348,7162.351,1.757,201,4
memory/jemalloc/src/include/jemalloc/internal/prng,1.366,0.0,0.482,0,0
gfx/skia/trunk/include/core/SkReader32,2.763,74.073,1.757,10,11
usr/include/unicode/uset,1.366,0.0,0.482,0,0
media/webrtc/trunk/webrtc/modules/audio_processing/ns/noise_suppression_x,1.366,0.0,1.757,0,7
gfx/skia/trunk/src/core/SkEdgeBuilder,1.508,13924.972,1.757,2,16
media/webrtc/trunk/tools/gyp/test/hard_dependency/src/a,17.053,0.0,0.482,2,1
xpcom/ds/nsCRT,26.233,27238.902,1.757,259,12
gfx/cairo/cairo/src/cairo-skia,1.366,0.0,1.756,0,1
mozilla/dom/CameraFacesDetectedEvent,1.366,0.0,0.482,0,0
content/media/fmp4/ffmpeg/libav54/include/libavutil/intreadwrite,1.366,0.0,1.757,0,5
content/media/fmp4/ffmpeg/libav53/include/libavutil/bswap,1.598,2.0,1.757,1,5
other-licenses/7zstub/src/Windows/Time,1.419,18.125,1.757,1,4
js/src/ctypes/libffi/testsuite/libffi.call/float2,1.366,0.0,1.757,0,4
usr/include/X11/Xosdefs,1.366,0.0,0.482,0,0
content/svg/content/src/nsSVGNumberPair,2.831,18607.865,1.757,13,20
media/libjpeg/jquant1,1.608,0.0,1.757,2,6
widget/xpwidgets/nsBaseWidget,3.976,369576.438,1.757,25,68
security/sandbox/chromium/base/threading/sequenced_worker_pool,1.657,13968.616,1.756,1,7
js/src/ctypes/libffi/testsuite/libffi.call/stret_medium,1.366,0.0,1.757,0,4
netinet/sctp_os_macosx,1.366,0.0,0.482,0,0
intl/uconv/ucvlatin/nsISO88593ToUnicode,1.577,0.072,1.757,2,7
nsprpub/pr/src/malloc/prmalloc,22.569,0.0,1.757,2,1
content/svg/content/src/SVGAnimatedBoolean,1.579,542.589,1.757,2,12
xpcom-private,1.366,0.0,0.482,0,0
js/src/ctypes/libffi/testsuite/libffi.call/closure_fn6,1.366,0.0,1.757,0,4
media/libpng/pngmem,2.626,124.807,1.757,8,9
gfx/layers/client/ClientLayerManager,2.741,149842.284,1.757,21,47
media/libvpx/vp8/encoder/lookahead,9.105,102330.78,1.757,43,9
gfx/skia/trunk/include/ports/SkRemotableFontMgr,2.287,8.719,1.757,6,6
accessible/xpcom/xpcAccessible,2.139,487.296,1.757,7,19
media/libopus/silk/float/pitch_analysis_core_FLP,1.437,232.508,1.757,1,15
content/media/gtest/TestTrackEncoder,1.366,0.0,1.757,0,6
gfx/skia/trunk/include/core/SkChunkAlloc,7.207,14.077,1.757,18,2
xpcom/ds/nsSupportsArrayEnumerator,2.604,0.0,1.757,2,2
docshell/shistory/src/nsSHEntry,1.479,46.481,1.757,2,21
mozilla/dom/HTMLSharedListElement,1.366,0.0,0.482,0,0
dom/bluetooth2/bluez/BluetoothUnixSocketConnector,1.834,1.5,1.757,3,5
nsISAXContentHandler,1.366,0.0,0.482,0,0
dom/canvas/WebGL2ContextSamplers,1.366,0.0,1.757,0,6
media/webrtc/trunk/webrtc/modules/audio_device/opensl/single_rw_fifo,1.398,0.0,1.757,1,1
ipc/glue/GeckoChildProcessHost,4.267,197296.264,1.757,8,55
modules/freetype2/include/ftbbox,1.366,0.0,1.756,0,4
media/webrtc/trunk/webrtc/video_engine/test/auto_test/primitives/framedrop_primitives_unittest,1.366,0.0,1.757,0,15
netwerk/srtp/src/include/ekt,1.997,30523.517,1.757,3,7
security/nss/cmd/ssltap/ssltap,1.366,0.0,1.757,0,42
mozilla/dom/PageTransitionEvent,1.366,0.0,0.482,0,0
other-licenses/7zstub/src/7zip/Archive/Common/OutStreamWithCRC,1.72,1.0,1.757,2,6
security/sandbox/win/src/handle_closer_test,1.366,0.0,1.757,0,15
media/webrtc/trunk/webrtc/modules/audio_coding/main/acm2/acm_isac,1.537,205681.735,1.757,2,17
media/libnestegg/src/macros,3.081,7717.0,1.757,2,1
media/webrtc/trunk/webrtc/common_audio/signal_processing/vector_scaling_operations,5.136,14.343,1.757,17,2
skia/GrTypes,1.366,0.0,0.482,0,0
security/nss/cmd/libpkix/pkix/top/test_buildchain,1.382,11.31,1.757,1,27
media/libopus/silk/log2lin,2.033,21.416,1.757,8,4
toolkit/components/terminator/nsTerminator,1.554,38.166,1.757,2,11
media/webrtc/trunk/tools/gyp/test/home_dot_gyp/src/printfoo,1.366,0.0,0.482,0,0
mozilla/dom/SVGAnimatedStringBinding,1.366,0.0,0.482,0,0
toolkit/xre/nsConsoleWriter,1.552,597.698,1.757,1,23
dom/plugins/ipc/COMMessageFilter,1.528,0.0,1.757,1,8
content/base/public/nsINode,33.022,307455.403,1.757,353,34
netwerk/protocol/http/nsHttpHeaderArray,2.093,518.842,1.757,7,14
media/webrtc/trunk/tools/gyp/test/mac/xcode-gcc/warn_about_missing_newline,1.366,0.0,0.482,0,0
security/nss/lib/freebl/mpi/utils/bbs_rand,3.394,7922.44,1.757,3,5
media/webrtc/trunk/tools/gyp/test/win/linker-flags/deffile,1.366,0.0,0.482,0,0
media/webrtc/trunk/webrtc/voice_engine/voe_hardware_impl,2.027,2632.582,1.757,12,14
js/src/ctypes/libffi/src/metag/ffi,1.366,0.0,1.756,0,2
ipc/chromium/src/third_party/libevent/test/regress_testutils,1.571,41.583,1.757,5,22
nsIPopupWindowManager,1.366,0.0,0.482,0,0
toolkit/crashreporter/google-breakpad/src/third_party/glog/src/windows/config,22.117,0.0,1.757,32,0
mozilla/dom/PColorPickerParent,1.366,0.0,0.482,0,0
widget/gtk/nsGtkCursors,1.391,0.0,1.757,1,0
media/webrtc/signaling/src/sipcc/core/common/init,1.906,3906.678,1.757,13,35
netwerk/protocol/rtsp/rtsp/ARTPSession,1.487,1713.811,1.757,2,26
usr/include/asm/sigcontext,1.366,0.0,0.482,0,0
webrtc/modules/audio_coding/codecs/amrwb/include/amrwb_interface,1.366,0.0,0.482,0,0
media/libvpx/vp8/common/sad_c,1.366,0.0,1.757,0,6
mozilla/dom/SVGZoomEvent,1.366,0.0,0.482,0,0
media/webrtc/trunk/tools/gyp/test/same-source-file-name/src/prog1,1.366,0.0,1.756,0,1
widget/gonk/HwcComposer2D,1.431,81.183,1.757,2,29
intl/icu/source/common/bytestriebuilder,1.589,1273.229,1.757,2,19
gfx/skia/trunk/src/animator/SkPathParts,1.653,81.107,1.757,4,15
intl/icu/source/common/ustr_imp,8.603,35269.893,1.757,51,6
mach/ppc/thread_status,1.366,0.0,0.482,0,0
media/libopus/silk/NLSF_encode,1.473,147.658,1.757,1,18
mozilla/dom/CompositionEventBinding,1.366,0.0,0.482,0,0
nsIXULTemplateBuilder,1.366,0.0,0.482,0,0
media/libtremor/lib/tremor_floor0,1.366,0.0,1.757,0,20
intl/icu/source/tools/tzcode/tz2icu,1.625,690.497,1.757,2,9
media/webrtc/trunk/webrtc/system_wrappers/interface/asm_defines,1.366,0.0,0.482,0,0
media/webrtc/trunk/webrtc/system_wrappers/interface/sort,1.915,313.01,1.757,3,3
media/libvorbis/lib/masking,1.452,0.0,1.756,1,1
gfx/layers/ipc/ShadowLayerParent,1.521,0.0,1.757,2,11
media/libvpx/vp8/encoder/onyx_int,3.621,195556.945,1.757,22,28
media/webrtc/trunk/webrtc/system_wrappers/interface/cpu_features_wrapper,5.869,921.283,1.757,17,1
security/sandbox/chromium/base/compiler_specific,9.53,19927.649,1.757,15,4
ipc/chromium/src/third_party/libevent/include/event2/event_struct,12.656,11053.338,1.757,39,5
mozilla/layers/X11TextureSourceOGL,1.366,0.0,0.482,0,0
xpcom/glue/AutoRestore,1.366,0.0,0.482,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/acm_g7221,1.493,0.0,1.757,1,10
gfx/skia/trunk/include/core/SkColorPriv,49.054,53508.142,1.757,105,10
toolkit/crashreporter/google-breakpad/src/third_party/glog/src/signalhandler_unittest,1.366,0.0,1.757,0,6
gfx/thebes/gfxPDFSurface,1.814,98112.796,1.757,6,14
content/media/fmp4/ffmpeg/libav55/include/libavutil/channel_layout,1.947,0.0,1.756,1,0
gfx/cairo/cairo/src/cairo-traps,2.834,14229.313,1.757,13,18
