node,page_rank,betweenness,closeness,indegree,outdegree
ipc/chromium/src/base/lock_impl_posix,2.511,0.0,3.333,0,2
other-licenses/7zstub/src/Windows/DLL,3.638,1072.067,3.333,5,7
editor/libeditor/base/nsSelectionState,3.722,207.928,3.334,11,12
content/xtf/src/nsXTFWeakTearoff,2.556,14.652,3.334,1,18
nsIContainerBoxObject,2.511,0.0,0.869,0,0
security/nss/lib/freebl/dh,2.511,0.0,3.334,0,15
other-licenses/atk-1.0/atk/atkrelationset,17.481,20.533,3.333,2,2
nsIDOMGeoPositionAddress,2.511,0.0,0.869,0,0
security/nss/lib/util/base64,7.226,10.628,3.334,20,3
dbm/include/extern,2.511,0.0,0.869,0,0
xpcom/tests/static-checker/override-virtual,2.511,0.0,0.869,0,0
nsprpub/pr/tests/joinku,2.511,0.0,3.334,0,8
js/src/v8-dtoa/dtoa,3.635,0.0,3.333,2,1
gfx/skia/src/gpu/GrTesselatedPathRenderer,5.433,918073.625,3.334,7,30
ipc/chromium/src/chrome/common/extensions/url_pattern,4.98,3999.33,3.334,4,6
dom/ipc/AudioParent,2.511,0.0,3.334,0,16
nsprpub/pr/tests/sockpong,2.511,0.0,3.334,0,10
gfx/skia/src/core/SkBlitter_Sprite,3.085,32329.929,3.333,4,13
gfx/skia/src/svg/SkSVGParser,5.511,9045.53,3.334,8,43
dom/system/cocoa/nsDeviceMotionSystem,2.511,0.0,3.334,0,2
js/src/ctypes/libffi/testsuite/libffi.call/closure_fn6,2.511,0.0,3.334,0,4
gfx/skia/src/core/SkTypefaceCache,3.18,786.161,3.333,4,9
support/TLS,2.511,0.0,0.869,0,0
gfx/skia/src/animator/SkDisplayMovie,3.645,390.459,3.333,6,24
widget/src/xremoteclient/nsRemoteClient,2.701,0.0,3.334,1,1
xpcom/glue/nsBaseHashtable,43.282,11034.327,3.334,138,7
objbase,2.511,0.0,0.869,0,0
jsautooplen,2.511,0.0,0.869,0,0
nsIAutoConfig,2.511,0.0,0.869,0,0
nsprpub/pr/tests/system,2.511,0.0,3.334,0,13
security/nss/lib/ssl/SSLerrs,2.748,0.0,3.333,1,1
gfx/skia/src/animator/SkDrawable,8.252,46.229,3.333,22,5
js/src/nanojit/Native,2.511,0.0,3.332,0,1
parser/html/nsHtml5TreeBuilder,4.863,45418.553,3.334,15,35
xpcom/glue/nsCRTGlue,60.952,6633.551,3.334,90,8
js/src/methodjit/LoopState,2.617,0.0,3.333,1,21
386/builtin,2.511,0.0,0.869,0,0
layout/tables/SpanningCellSorter,2.887,6.967,3.334,2,9
nsprpub/pr/include/prinet,21.227,341.485,3.333,2,1
other-licenses/7zstub/src/7zip/Compress/Branch/BranchCoder,3.273,32.283,3.333,2,8
gfx/skia/third_party/glu/libtess/dict-list,3.849,0.0,3.332,1,1
nsIDOMFileList,2.511,0.0,0.869,0,0
netwerk/ipc/NeckoParent,2.511,0.0,3.334,0,4
security/nss/lib/certdb/xconst,4.874,68.698,3.334,16,19
nsIUserCertPicker,2.511,0.0,0.869,0,0
gfx/skia/src/animator/SkDrawDiscrete,2.975,234.201,3.333,3,11
js/src/assembler/wtf/Platform,54.233,58025.941,3.333,37,5
usr/include/X11/Xlib,2.511,0.0,0.869,0,0
widget/src/android/nsIdleServiceAndroid,2.857,31.907,3.334,2,9
modules/freetype2/src/base/ftgxval,2.511,0.0,0.869,0,0
ipc/chromium/src/base/atomicops_internals_x86_gcc,8.835,10526.734,3.334,4,6
gfx/cairo/cairo/test/line_width,2.511,0.0,3.333,0,4
docshell/build/nsDocShellModule,2.511,0.0,3.334,0,23
toolkit/crashreporter/google-breakpad/src/processor/synth_minidump_unittest,2.511,0.0,3.334,0,13
propkey,2.511,0.0,0.869,0,0
media/libvpx/vp8/common/x86/recon_wrapper_sse2,2.511,0.0,3.334,0,6
layout/xul/base/src/tree/src/nsTreeSelection,2.637,0.705,3.334,2,23
mozilla/dom/PCrashReporterChild,2.511,0.0,0.869,0,0
content/svg/content/src/nsSVGAnimateTransformElement,2.556,123.371,3.334,1,20
layout/svg/base/src/nsSVGGeometryFrame,3.179,797.56,3.334,8,27
intl/uconv/ucvja/nsUCVJACID,2.539,0.0,3.333,1,0
nsprpub/pr/src/cplus/rcio,3.378,0.0,3.334,3,6
extensions/universalchardet/src/base/nsMBCSGroupProber,3.019,41.957,3.334,2,13
media/libsydneyaudio/src/sydney_audio_android,3.043,26684.425,3.334,2,7
gfx/angle/src/compiler/TranslatorHLSL,3.465,1181.821,3.332,2,7
security/nss/lib/ckfw/nssmkey/ckmkver,2.511,0.0,3.332,0,1
nsIEditorSpellCheck,2.511,0.0,0.869,0,0
nsIJARProtocolHandler,2.511,0.0,0.869,0,0
mozilla/_ipdltest/PTestOpensOpenedParent,2.511,0.0,0.869,0,0
media/libvpx/vp8/decoder/x86/dequantize_x86,2.511,0.0,0.869,0,0
