file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
media/webrtc/trunk/testing/gtest/include/gtest/gtest.h,2236,1,98,1,1.70
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/mock/mock_decoder_database.h,64,1,39,0,0.25
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/packet.h,71,1,7,2,0.67
testing/gtest/gtest/include/gtest/gtest.h,2155,1,88,1,1.76
testing/gtest/gmock/include/gmock/gmock-spec-builders.h,1749,1,102,2,0.78
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/mock/mock_external_decoder_pcm16b.h,99,1,21,0,0.25
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/interface/audio_decoder.h,145,1,11,0,0.46
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/pcm16b/include/pcm16b.h,106,0,0,0,4.93
media/webrtc/trunk/webrtc/system_wrappers/interface/constructor_magic.h,50,0,0,0,0.00
media/webrtc/trunk/webrtc/typedefs.h,156,0,0,0,0.00
widget/cocoa/nsFilePicker.h,74,0,0,0,0.46
widget/xpwidgets/nsBaseFilePicker.h,51,0,0,0,0.22
xpcom/glue/nsCOMArray.h,417,1,61,2,0.32
xpcom/glue/nsTArray.h,1812,1,149,3,0.56
widget/android/nsClipboard.cpp,136,5,9,3,0.10
widget/android/nsClipboard.h,20,0,0,0,0.57
widget/android/AndroidBridge.h,557,2,25,2,0.15
xpcom/glue/nsComponentManagerUtils.h,304,2,21,1,0.08
xpcom/build/nsXULAppAPI.h,472,0,0,0,2.33
xpcom/build/nsXPCOMCID.h,177,0,0,0,0.00
security/nss/lib/freebl/cts.c,302,6,4,2,0.87
security/nss/lib/freebl/stubs.h,62,0,0,0,9.00
security/nss/lib/freebl/blapit.h,422,0,0,0,0.98
security/nss/lib/freebl/blapii.h,39,0,0,0,1.00
security/nss/lib/freebl/cts.h,33,0,0,0,0.83
security/nss/lib/util/secerr.h,218,0,0,0,0.06
security/nss/lib/util/secport.h,250,0,0,0,0.64
gfx/skia/src/ports/SkFontHost_mac.cpp,2181,3,123,4,0.15
gfx/skia/include/core/SkFontHost.h,131,0,0,0,2.93
gfx/skia/include/utils/mac/SkCGUtils.h,67,1,1,0,2.75
gfx/skia/include/core/SkColorPriv.h,863,5,62,3,0.38
gfx/skia/src/core/SkDescriptor.h,164,3,18,3,0.18
gfx/skia/include/core/SkEndian.h,151,5,4,3,0.76
gfx/skia/src/core/SkFontDescriptor.h,46,1,10,0,0.29
gfx/skia/include/core/SkFloatingPoint.h,97,1,2,0,0.82
gfx/skia/src/core/SkGlyph.h,150,2,17,3,0.18
gfx/skia/src/core/SkMaskGamma.h,221,2,25,3,0.74
gfx/skia/src/sfnt/SkSFNTHeader.h,70,0,0,0,0.20
gfx/skia/src/sfnt/SkOTTable_glyf.h,214,2,3,1,0.17
gfx/skia/src/sfnt/SkOTTable_head.h,150,0,0,0,0.11
gfx/skia/src/sfnt/SkOTTable_hhea.h,56,0,0,0,0.19
gfx/skia/src/sfnt/SkOTTable_loca.h,31,0,0,0,0.55
gfx/skia/src/sfnt/SkOTUtils.h,37,0,0,0,3.67
gfx/skia/include/core/SkPaint.h,999,1,45,2,1.73
gfx/skia/include/core/SkPath.h,1003,2,38,3,1.95
gfx/skia/include/core/SkString.h,256,2,47,3,0.26
gfx/skia/include/core/SkStream.h,397,2,84,3,0.73
gfx/skia/include/core/SkThread.h,68,3,4,3,1.08
gfx/skia/include/ports/SkTypeface_mac.h,29,0,0,0,11.00
gfx/skia/include/core/SkUtils.h,117,3,4,3,0.72
gfx/skia/src/core/SkTypefaceCache.h,94,0,0,0,1.88
gfx/skia/include/ports/SkFontMgr.h,97,0,0,0,0.85
gfx/skia/include/core/SkPreConfig.h,271,0,0,0,0.00
gfx/skia/include/core/SkTypes.h,611,1,4,0,2.74
gfx/skia/include/core/SkScalar.h,379,3,20,3,1.90
gfx/skia/include/core/SkPostConfig.h,363,0,0,0,0.00
gfx/skia/include/core/SkThread_platform.h,197,0,0,0,2.15
gfx/skia/include/core/SkFixed.h,290,3,7,3,0.53
content/canvas/src/CanvasPattern.h,75,1,6,0,0.08
dom/base/nsWrapperCache.h,754,1,26,1,0.57
xpcom/glue/nsCycleCollectionParticipant.h,1146,1,18,1,0.68
toolkit/crashreporter/google-breakpad/src/processor/module_comparer.h,98,1,2,0,1.42
toolkit/crashreporter/google-breakpad/src/processor/basic_source_line_resolver_types.h,161,1,3,0,1.73
toolkit/crashreporter/google-breakpad/src/processor/fast_source_line_resolver_types.h,179,1,8,0,1.00
toolkit/crashreporter/google-breakpad/src/processor/module_serializer.h,127,0,0,0,2.00
toolkit/crashreporter/google-breakpad/src/processor/windows_frame_info.h,209,2,5,1,0.53
media/libvpx/vp8/decoder/decodframe.c,1137,10,12,6,0.16
media/libvpx/vp8/decoder/onyxd_int.h,137,0,0,0,0.25
media/libvpx/vp8/common/header.h,43,0,0,0,1.57
media/libvpx/vp8/common/reconintra.h,17,0,0,0,9.00
media/libvpx/vp8/common/reconintra4x4.h,17,0,0,0,9.00
media/libvpx/vp8/common/recon.h,111,0,0,0,0.32
media/libvpx/vp8/common/reconinter.h,33,0,0,0,0.64
media/libvpx/vp8/common/dequantize.h,85,0,0,0,0.60
media/libvpx/vp8/decoder/detokenize.h,20,0,0,0,5.00
media/libvpx/vp8/common/invtrans.h,63,3,2,2,0.32
media/libvpx/vp8/common/alloccommon.h,23,0,0,0,1.80
media/libvpx/vp8/common/entropymode.h,77,0,0,0,0.31
media/libvpx/vp8/common/quant_common.h,21,0,0,0,1.50
media/libvpx/vpx_scale/vpxscale.h,90,0,0,0,0.13
media/libvpx/vpx_scale/yv12extend.h,40,0,0,0,3.67
media/libvpx/vp8/common/setupintrarecon.h,13,0,0,0,9.00
media/libvpx/vp8/decoder/decodemv.h,14,0,0,0,9.00
media/libvpx/vp8/common/extend.h,25,0,0,0,1.29
media/libvpx/vpx_config_generic-gnu.h,77,0,0,0,0.00
media/libvpx/vp8/decoder/error_concealment.h,41,0,0,0,2.25
media/libvpx/vpx_mem/vpx_mem.h,179,0,0,0,1.33
media/libvpx/vp8/common/idct.h,80,0,0,0,0.80
media/libvpx/vp8/common/threading.h,93,0,0,0,0.00
media/libvpx/vp8/decoder/decoderthreading.h,26,0,0,0,1.80
media/libvpx/vp8/decoder/dboolhuff.h,154,2,3,1,0.54
media/libvpx/vp8/common/onyxc_int.h,219,0,0,0,0.35
media/libvpx/vp8/common/blockd.h,299,0,0,0,0.33
media/libvpx/vpx_scale/yv12config.h,73,0,0,0,0.96
media/libvpx/vp8/decoder/treereader.h,41,2,1,1,1.09
media/libvpx/vp8/common/subpixel.h,86,0,0,0,0.45
media/libvpx/vp8/common/entropy.h,101,0,0,0,2.15
media/webrtc/trunk/tools/gyp/test/win/linker-flags/library-adjust.cc,10,1,1,0,0.75
xpcom/tests/TestRacingServiceManager.cpp,307,4,20,3,0.06
xpcom/tests/TestHarness.h,284,3,14,4,0.18
xpcom/base/nsAutoPtr.h,1439,1,137,1,0.25
xpcom/glue/nsThreadUtils.h,569,1,33,3,0.75
xpcom/build/nsXPCOMCIDInternal.h,54,0,0,0,0.00
nsprpub/pr/include/pratom.h,199,0,0,0,7.33
nsprpub/pr/include/prmon.h,96,0,0,0,5.55
nsprpub/pr/include/prtypes.h,565,0,0,0,13.94
layout/style/nsCSSProperty.h,72,0,0,0,1.35
layout/style/nsCSSPropList.h,3870,0,0,0,0.07
layout/style/nsCSSPropAliasList.h,59,0,0,0,1.55
layout/style/nsCSSFontDescList.h,16,0,0,0,0.75
media/webrtc/trunk/webrtc/test/testsupport/frame_writer.cc,68,2,5,1,0.23
media/webrtc/trunk/webrtc/test/testsupport/frame_writer.h,69,1,2,0,1.12
js/src/jit/LIR.cpp,392,2,27,3,0.07
js/src/jit/LIR.h,1573,1,1007,3,0.13
js/src/jsprf.h,79,0,0,0,5.30
js/src/jit/IonSpewer.h,203,1,17,0,0.72
js/src/jit/MIR.h,9164,1,2608,2,0.07
js/src/jit/MIRGenerator.h,168,1,24,1,0.14
js/src/jit/LOpcodes.h,292,0,0,0,0.00
js/src/jit/IonMacroAssembler.h,1412,0,0,0,0.00
js/src/jit/RegisterSets.h,857,1,145,1,0.06
js/src/jsutil.h,386,1,30,2,0.09
ipc/ipdl/test/cxx/TestMultiMgrs.cpp,103,4,5,1,0.09
ipc/ipdl/test/cxx/TestMultiMgrs.h,243,1,40,1,0.05
ipc/ipdl/test/cxx/IPDLUnitTests.h,93,1,2,0,0.53
media/webrtc/trunk/webrtc/common_video/libyuv/include/scaler.h,69,0,0,0,1.00
media/webrtc/trunk/webrtc/common_video/interface/i420_video_frame.h,136,1,8,0,1.08
media/webrtc/trunk/webrtc/common_video/libyuv/include/webrtc_libyuv.h,188,0,0,0,1.38
media/webrtc/trunk/tools/gyp/test/rules-variables/src/input_name/test.c,9,1,1,0,1.00
media/webrtc/trunk/webrtc/modules/audio_device/linux/audio_device_alsa_linux.h,260,1,2,0,0.18
media/webrtc/trunk/webrtc/modules/audio_device/audio_device_generic.h,183,1,1,0,0.29
media/webrtc/trunk/webrtc/modules/audio_device/linux/audio_mixer_manager_alsa_linux.h,78,0,0,0,0.20
media/webrtc/trunk/webrtc/system_wrappers/interface/critical_section_wrapper.h,61,1,4,1,0.70
netwerk/base/src/RedirectChannelRegistrar.cpp,76,2,9,2,0.07
netwerk/base/src/RedirectChannelRegistrar.h,39,0,0,0,0.17
intl/icu/source/i18n/indiancal.h,372,0,0,0,5.18
intl/icu/source/i18n/unicode/calendar.h,2485,1,17,0,6.71
layout/style/nsCSSStyleSheet.cpp,2243,4,120,5,0.12
layout/style/nsCSSStyleSheet.h,367,1,25,1,0.45
