node,page_rank,betweenness,closeness,indegree,outdegree
media/libvpx/vp9/common/vp9_convolve,2.375,1722.587,1.77,4,10
parser/html/nsHtml5SVGLoadDispatcher,1.486,925.0,1.77,3,11
mozilla/dom/HTMLStyleElementBinding,1.3,0.0,0.483,0,0
gfx/ots/src/head,6.274,0.0,1.77,8,3
media/mtransport/third_party/nICEr/src/ice/ice_ctx,2.029,52839.799,1.77,13,38
modules/freetype2/src/type1/t1parse,6.555,0.167,1.77,7,2
ipc/chromium/src/chrome/common/result_codes,1.441,2.0,1.77,2,1
media/webrtc/trunk/tools/gyp/test/toplevel-dir/src/sub2/prog2,1.3,0.0,0.483,0,0
gfx/graphite2/src/Bidi,1.381,0.0,1.77,1,5
netwerk/cache/nsDiskCacheMap,1.558,1436.042,1.77,5,30
gfx/skia/trunk/src/ports/SkFontHost_fontconfig,1.353,15.927,1.77,1,16
mozilla/dom/AudioParam,1.3,0.0,0.483,0,0
mozilla/net/RemoteOpenFileChild,1.3,0.0,0.483,0,0
toolkit/crashreporter/google-breakpad/src/processor/range_map-inl,2.493,620.075,1.77,9,3
etc1,1.3,0.0,0.483,0,0
media/webrtc/trunk/testing/gtest/test/gtest_env_var_test_,1.3,0.0,1.77,0,8
toolkit/crashreporter/google-breakpad/src/third_party/glog/src/logging_unittest,1.3,0.0,1.77,0,23
nsIRequest,1.3,0.0,0.483,0,0
media/webrtc/trunk/webrtc/common_audio/signal_processing/complex_fft_tables,2.037,2696.634,1.77,2,1
accessible/xul/XULSelectControlAccessible,1.923,67.359,1.77,6,11
build/unix/elfhack/dummy,1.3,0.0,1.769,0,1
gfx/angle/src/compiler/preprocessor/DirectiveParser,1.586,17531.849,1.77,2,11
media/webrtc/trunk/tools/gyp/test/win/linker-flags/nodefaultlib,1.3,0.0,0.483,0,0
dom/events/PaintRequest,1.3,0.0,1.77,0,12
hal/fallback/FallbackSwitch,1.3,0.0,0.483,0,0
xpcom/components/ModuleLoader,1.3,0.0,1.77,0,1
media/webrtc/trunk/webrtc/system_wrappers/source/clock_unittest,1.3,0.0,1.77,0,6
gfx/skia/trunk/src/opts/SkBlitRow_opts_mips_dsp,1.3,0.0,1.77,0,12
media/omx-plugin/include/ics/utils/String8,1.682,1065.81,1.77,2,6
ipc/chromium/src/base/condition_variable_posix,1.3,0.0,1.77,0,9
mozilla/dom/SVGGElement,1.3,0.0,0.483,0,0
mozilla/dom/HTMLContentElementBinding,1.3,0.0,0.483,0,0
testing/gtest/gtest/include/gtest/gtest,110.78,199209.216,1.77,573,24
security/manager/ssl/src/NSSErrorsService,2.057,653173.84,1.77,12,19
layout/mathml/nsMathMLsemanticsFrame,1.388,6982.218,1.77,2,16
cairo-xcb-private,1.3,0.0,0.483,0,0
js/src/ctypes/libffi/testsuite/libffi.call/strlen3,1.3,0.0,1.77,0,3
intl/icu/source/common/ubidiln,1.476,170.717,1.77,2,11
media/webrtc/trunk/webrtc/modules/audio_processing/utility/delay_estimator,2.824,3495.438,1.77,4,5
content/svg/content/src/SVGTextContentElement,1.423,141.501,1.77,1,13
media/webrtc/trunk/tools/gyp/test/mac/debuginfo/file,1.3,0.0,0.483,0,0
nsIDOMCSSCounterStyleRule,1.3,0.0,0.483,0,0
intl/icu/source/common/usprep,1.686,6829.357,1.77,3,29
mfbt/RollingMean,1.3,0.0,1.77,0,3
nsprpub/pr/tests/cvar,1.3,0.0,1.77,0,13
gfx/skia/trunk/include/core/SkMetaData,3.482,5117.574,1.77,10,6
mozilla/dom/HTMLProgressElement,1.3,0.0,0.483,0,0
media/omx-plugin/include/ics/utils/SortedVector,3.461,56309.266,1.77,5,7
mozilla/dom/PCycleCollectWithLogsChild,1.3,0.0,0.483,0,0
gfx/skia/trunk/src/core/SkLazyPtr,8.365,10098.753,1.77,12,6
nsprpub/pr/include/md/_hpux,14.86,0.0,1.77,19,0
nsIAuthPrompt,1.3,0.0,0.483,0,0
js/src/jsapi-tests/testAddPropertyPropcache,1.3,0.0,1.77,0,4
security/nss/external_tests/google_test/gtest/include/gtest/gtest_prod,3.832,0.0,1.77,3,0
media/libyuv/source/compare,2.47,37658.646,1.77,5,8
media/webrtc/signaling/src/sipcc/core/includes/task,1.758,0.0,1.77,4,0
toolkit/components/protobuf/google/protobuf/wire_format_lite_inl,1.824,265.365,1.77,4,7
storage/test/test_statement_scoper,1.3,0.0,1.77,0,7
media/libopus/silk/decode_core,1.372,59.879,1.77,1,12
mozilla/css/ErrorReporter,1.3,0.0,0.483,0,0
modules/freetype2/include/internal/ftvalid,1.3,0.0,0.483,0,0
mozilla/AppUnits,1.3,0.0,0.483,0,0
gfx/graphite2/src/XmlTraceLogTags,1.3,0.0,1.77,0,1
netwerk/protocol/device/nsDeviceCaptureProvider,1.413,0.25,1.77,2,2
content/base/src/nsObjectLoadingContent,1.695,82619.299,1.77,9,74
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/smooth,1.536,14000.434,1.77,1,9
usr/include/sys/poll,1.3,0.0,0.483,0,0
security/nss/coreconf/mkdepend/parse,8.662,73235.783,1.77,7,5
js/src/ctypes/libffi/testsuite/libffi.call/closure_fn6,1.3,0.0,1.77,0,4
layout/base/nsPresState,1.667,32.677,1.77,10,4
media/libjpeg/jdatasrc,1.3,0.0,1.77,0,5
security/nss/lib/libpkix/pkix/checker/pkix_namechainingchecker,2.05,0.167,1.77,3,10
dom/ipc/ContentBridgeChild,1.3,0.0,1.77,0,17
media/webrtc/signaling/src/sipcc/cpr/darwin/cpr_darwin_stdio,1.3,0.0,1.77,0,6
other-licenses/7zstub/src/7zip/Archive/Common/ItemNameUtils,1.733,0.0,1.77,2,4
intl/unicharutil/nsSaveAsCharset,1.414,505.074,1.77,2,24
media/webrtc/trunk/webrtc/test/channel_transport/include/channel_transport,2.238,10778.195,1.77,13,5
nsIProgressEventSink,1.3,0.0,0.483,0,0
libGLESv2/constants,1.3,0.0,0.483,0,0
gfx/skia/trunk/include/core/SkSize,14.549,19305.183,1.77,57,1
content/svg/content/src/nsSVGElement,14.266,622000.524,1.77,132,73
gfx/skia/trunk/src/core/SkScaledImageCache,1.94,21489.384,1.77,4,23
editor/libeditor/nsTextEditRules,1.618,193149.342,1.77,10,37
security/sandbox/win/src/sidestep_resolver,1.546,474.25,1.77,2,9
media/webrtc/trunk/testing/gtest/test/gtest_throw_on_failure_test_,1.3,0.0,1.77,0,5
intl/uconv/ucvlatin/nsUTF16ToUnicode,1.469,126.176,1.77,2,8
mozilla/layers/PCompositableParent,1.3,0.0,0.483,0,0
js/src/jslock,6.877,10842.759,1.77,11,4
intl/uconv/ucvlatin/nsISO88596EToUnicode,1.53,0.039,1.77,2,6
gfx/angle/src/compiler/preprocessor/Macro,3.139,0.0,1.77,4,2
gfx/graphite2/src/inc/Position,4.787,0.0,1.77,14,0
content/html/content/src/HTMLTimeElement,1.48,0.0,1.77,1,7
gfx/skia/trunk/src/gpu/gl/debug/GrFrameBufferObj,1.71,0.333,1.77,3,5
media/omx-plugin/include/froyo/utils/String8,2.342,5062.85,1.77,3,4
gfx/skia/trunk/src/animator/SkDraw3D,1.821,242.596,1.77,4,18
nsprpub/pr/include/prrng,2.894,1.962,1.77,4,1
gfx/skia/trunk/src/opts/SkBlitRow_opts_arm_neon,1.358,0.0,1.77,1,20
media/webrtc/signaling/src/mediapipeline/SrtpFlow,1.447,239944.693,1.77,2,14
gfx/layers/ipc/CompositorBench,2.772,0.0,1.77,2,2
ipc/chromium/src/third_party/libevent/event_tagging,2.924,22085.464,1.77,5,16
gfx/ots/src/layout,2.838,999.494,1.77,5,5
mozilla/dom/NameSpaceConstants,1.3,0.0,0.483,0,0
dom/ipc/CrashReporterParent,1.625,4.643,1.77,3,5
xpcom/reflect/xptcall/md/unix/xptcstubs_ipf64,1.3,0.0,1.77,0,8
parser/xml/nsSAXLocator,1.588,41.812,1.77,3,7
xpcom/reflect/xptcall/md/unix/xptcinvoke_x86_64_unix,1.458,0.0,1.77,1,6
memory/jemalloc/src/test/include/test/SFMT-params86243,1.3,0.0,0.483,0,0
security/nss/lib/pk11wrap/pk11sdr,1.675,331.615,1.77,7,21
xpcom/glue/nsCOMArray,17.613,3727.777,1.77,207,11
security/nss/lib/certdb/certi,2.409,156.361,1.77,15,9
mozilla/dom/VideoTrackListBinding,1.3,0.0,0.483,0,0
media/libvpx/vp9/common/arm/neon/vp9_convolve_neon,1.3,0.0,1.77,0,5
intl/icu/source/common/icudataver,1.3,0.0,1.77,0,5
_mingw,1.3,0.0,0.483,0,0
netwerk/test/urltest,1.438,395.499,1.77,1,15
toolkit/components/places/nsPlacesTables,1.946,0.0,1.77,3,1
xpcom/glue/nsTObserverArray,4.26,394.796,1.77,25,9
gfx/layers/basic/TextureClientX11,1.3,0.0,1.77,0,16
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/tools/audio_loop,1.722,30.008,1.77,3,6
mozilla/dom/UIEvent,1.3,0.0,0.483,0,0
nsIDOMCSSImportRule,1.3,0.0,0.483,0,0
xpcom/tests/TestArguments,1.3,0.0,0.483,0,0
modules/freetype2/devel/ftoption,1.3,0.0,1.77,0,2
media/libvpx/vpx_ports/mem_ops_aligned,2.405,7554.0,1.77,1,2
toolkit/components/protobuf/google/protobuf/wire_format_lite,2.046,21719.222,1.77,5,10
qmdevicemode,1.3,0.0,0.483,0,0
nsprpub/lib/libc/include/plstr,35.238,113.793,1.77,139,1
security/nss/external_tests/google_test/gtest/test/gtest_color_test_,1.3,0.0,1.77,0,5
nsIContentViewerFile,1.3,0.0,0.483,0,0
nsISAXMutableAttributes,1.3,0.0,0.483,0,0
storage/public/storage,1.3,0.0,1.77,0,2
mozglue/build/Nuwa,1.384,0.0,1.77,1,14
ipc/chromium/src/third_party/libevent/sample/dns-example,1.3,0.0,1.77,0,14
mozilla/dom/DataStore,1.3,0.0,0.483,0,0
mozilla/dom/network/Types,1.3,0.0,0.483,0,0
hal/linux/LinuxMemory,1.3,0.0,1.77,0,2
mozilla/layers/ImageDataSerializer,1.3,0.0,0.483,0,0
media/libspeex_resampler/src/arch,3.191,0.0,1.77,2,0
intl/icu/source/common/ubidiwrt,1.391,2239.601,1.77,1,14
intl/locale/nsILanguageAtomService,2.07,52.539,1.77,6,3
media/webrtc/trunk/webrtc/modules/video_coding/main/source/internal_defines,3.055,43.306,1.77,16,3
widget/android/APZCCallbackHandler,1.422,522.029,1.77,3,24
js/xpconnect/src/nsDOMQS,1.3,0.0,1.77,0,25
nsprpub/pr/src/md/windows/ntsem,1.3,0.0,1.77,0,5
netwerk/srtp/src/crypto/cipher/aes,2.072,11.917,1.77,5,5
nsIMobileNetworkInfo,1.3,0.0,0.483,0,0
modules/freetype2/include/ftglyph,1.853,8166.245,1.77,3,7
gfx/skia/trunk/include/core/SkTArray,14.977,264149.666,1.77,89,7
intl/uconv/tools/umaptable,1.3,0.0,1.77,0,3
dom/xslt/xslt/txXMLEventHandler,1.952,2410.348,1.77,9,4
netwerk/dns/race,1.34,12.037,1.77,1,3
gfx/skia/trunk/src/core/SkGlyphCache_Globals,1.368,6010.149,1.77,1,5
intl/icu/source/i18n/unicode/dcfmtsym,1.96,3731.248,1.77,11,8
media/webrtc/signaling/src/sipcc/core/includes/debug,4.76,101972.881,1.77,38,5
gfx/2d/DrawTargetCairo,2.002,101970.57,1.77,5,36
toolkit/crashreporter/google-breakpad/src/common/mac/macho_reader_unittest,1.3,0.0,1.77,0,19
media/webrtc/signaling/src/sipcc/core/includes/sntp,1.3,0.0,1.77,0,11
media/webrtc/trunk/webrtc/system_wrappers/source/tick_util,8.717,0.0,1.77,5,1
xpcom/threads/BackgroundHangMonitor,1.378,0.0,1.77,1,15
media/webrtc/trunk/tools/gyp/test/mac/postbuild-fail/file,1.3,0.0,0.483,0,0
mozilla/net/PHttpChannelChild,1.3,0.0,0.483,0,0
nsprpub/pr/src/io/prfdcach,3.408,784.217,1.77,4,12
