node,page_rank,betweenness,closeness,indegree,outdegree
content/base/src/nsFrameMessageManager,1.957,17949.021,2.15,11,51
accessible/src/mac/HyperTextAccessibleWrap,2.72,4.504,2.15,12,1
memory/jemalloc/src/src/tsd,2.022,0.0,2.15,1,0
media/webrtc/trunk/webrtc/voice_engine/test/cmd_test/voe_cmd_test,1.571,0.0,2.15,0,30
AccessibleText,1.571,0.0,0.573,0,0
nsIPluginTag,1.571,0.0,0.573,0,0
media/webrtc/signaling/src/sipcc/include/ccapi_line,2.236,0.25,2.15,5,3
gfx/layers/Layers,17.035,1481647.242,2.15,120,44
security/nss/lib/smime/cms,2.552,3846.953,2.15,9,13
xpcom/tests/TestCallTemplates,1.571,0.0,2.15,0,15
xpcom/glue/nsVoidArray,3.293,1705.676,2.15,21,10
dom/system/gonk/nsVolumeMountLock,1.693,1.6,2.15,2,17
gfx/skia/include/gpu/gl/SkGLContext,4.922,6592.558,2.15,6,5
nsprpub/pr/tests/sockopt,1.571,0.0,2.15,0,15
layout/xul/base/src/nsTitleBarFrame,1.655,27.569,2.15,2,29
layout/base/nsQuoteList,1.808,0.059,2.15,2,7
ImageHlp,1.571,0.0,0.573,0,0
media/webrtc/trunk/tools/gyp/test/same-gyp-name/src/subdir2/main2,1.571,0.0,0.573,0,0
security/nss/lib/crmf/crmfpop,1.606,4.164,2.15,2,20
gfx/angle/src/compiler/DetectRecursion,1.968,0.133,2.15,2,6
xpcom/threads/SyncRunnable,1.571,0.0,2.15,0,5
media/webrtc/signaling/src/sipcc/core/includes/kpmlmap,3.303,6553.057,2.15,7,6
gfx/skia/src/utils/SkInterpolator,1.825,478.067,2.15,3,12
mozilla/dom/mobilemessage/PMobileMessageCursorParent,1.571,0.0,0.573,0,0
mfbt/MSStdInt,1224.555,0.0,2.15,1464,0
xpcom/tests/ShowSSEConfig,1.571,0.0,2.15,0,1
ipc/chromium/src/base/stack_container,1.957,18.598,2.15,2,1
mozilla/HashFunctions,1.571,0.0,0.573,0,0
dom/base/Crypto,1.722,8993.395,2.15,5,26
js/src/ctypes/libffi/testsuite/libffi.call/cls_align_sint64,1.571,0.0,2.15,0,4
ipc/chromium/src/base/perf_test_suite,2.29,1160.965,2.15,2,11
media/webrtc/trunk/webrtc/voice_engine/include/mock/mock_voe_connection_observer,1.666,619.381,2.15,1,6
layout/forms/nsTextControlFrame,1.794,30142.681,2.15,8,79
mozilla/dom/HTMLOptionsCollection,1.571,0.0,0.573,0,0
usr/include/unicode/colldata,1.571,0.0,0.573,0,0
gfx/2d/SourceSurfaceSkia,1.83,0.0,2.15,2,9
gfx/skia/include/effects/SkTableColorFilter,1.634,0.071,2.15,1,4
media/webrtc/trunk/webrtc/modules/rtp_rtcp/mocks/mock_rtp_rtcp,1.641,6.693,2.15,1,9
security/nss/cmd/checkcert/checkcert,1.571,0.0,2.15,0,32
toolkit/mozapps/update/test/TestAUSHelper,1.571,0.0,2.15,0,3
widget/xremoteclient/mozilla-xremote-client,1.571,0.0,2.15,0,5
media/libopus/silk/NLSF_VQ_weights_laroia,1.929,578.451,2.15,3,4
nsprpub/pr/include/prthread,184.407,135945.263,2.15,156,4
media/webrtc/trunk/tools/gyp/test/builddir/src/subdir2/prog2,1.571,0.0,0.573,0,1
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/state_search,1.647,34372.083,2.15,1,12
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/unpack_bits,1.659,0.0,2.15,1,2
xpcom/reflect/xptcall/src/xptcall,1.571,0.0,2.15,0,9
propkey,1.571,0.0,0.573,0,0
media/libopus/silk/stereo_decode_pred,1.633,0.0,2.15,1,8
mozilla/threads/nsThreadIDs,1.571,0.0,0.573,0,0
mozilla/dom/indexedDB/IndexedDatabaseManager,1.571,0.0,0.573,0,0
rdf/build/nsRDFModule,1.571,0.0,2.15,0,21
toolkit/crashreporter/google-breakpad/src/client/solaris/handler/solaris_lwp,2.594,3975.757,2.15,4,8
sys/pda,1.571,0.0,0.573,0,0
gfx/tests/gfxFontSelectionTest,1.77,1315.118,2.15,1,20
intl/uconv/ucvlatin/nsMacHebrewToUnicode,1.852,0.041,2.15,2,6
content/events/src/nsIMEStateManager,2.092,58178.454,2.15,10,45
extensions/universalchardet/src/base/nsEUCKRProber,2.03,1030.936,2.15,2,6
gfx/src/nsColor,18.433,46031.856,2.15,96,15
widget/gonk/nsAppShell,2.59,1029960.718,2.15,10,37
intl/icu/source/i18n/numsys,1.839,133448.801,2.15,5,19
dom/plugins/ipc/NestedLoopTimer,2.731,0.0,2.15,1,2
intl/uconv/ucvlatin/nsUnicodeToMacHebrew,1.852,0.041,2.15,2,6
parser/html/nsHtml5PendingNotification,1.678,93.742,2.15,2,3
media/webrtc/trunk/webrtc/voice_engine/include/voe_hardware,2.719,0.354,2.15,15,2
nsIDOMCSSMediaRule,1.571,0.0,0.573,0,0
nsIByteArrayInputStream,1.571,0.0,0.573,0,0
security/nss/lib/util/hasht,9.95,3732.555,2.15,68,2
intl/chardet/src/nsCyrillicDetector,2.264,9514.209,2.15,3,15
js/src/ion/arm/BaselineRegisters-arm,1.571,0.0,0.573,0,0
content/html/content/src/HTMLSpanElement,1.571,0.0,2.15,0,16
nsIDOMMobileMessageManager,1.571,0.0,0.573,0,0
media/libopus/include/opus_custom,2.968,1.667,2.15,9,4
security/nss/lib/base/errorval,5.824,0.0,2.15,20,1
fixed_c6x,1.571,0.0,0.573,0,0
dom/workers/Navigator,1.78,23.894,2.15,3,11
other-licenses/7zstub/src/7zip/Archive/7z/7zItem,2.03,5.033,2.15,5,6
