node,page_rank,betweenness,closeness,indegree,outdegree
layout/xul/nsMenuPopupFrame,2.16,57720.515,1.69,16,69
dom/filesystem/FileSystemUtils,1.304,0.0,1.69,0,4
mozilla/dom/ContentChild,1.304,0.0,0.473,0,0
media/mtransport/third_party/nrappkit/src/port/generic/include/sys/queue,1.304,0.0,1.69,0,1
mfbt/tests/TestMacroForEach,1.304,0.0,0.473,0,0
media/libstagefright/ports/darwin/include/byteswap,1.304,0.0,0.473,0,0
dom/events/EventDispatcher,1.304,0.0,1.69,0,21
js/src/gc/Zone,41.625,134764.311,1.69,56,23
security/nss/lib/util/pkcs11f,5.266,0.0,1.69,6,2
nsprpub/pr/include/md/_dgux,1.304,0.0,0.473,0,0
_STLP_NATIVE_C_HEADER(stdarg,1.304,0.0,0.473,0,0
media/libvorbis/lib/modes/setup_44p51,1.785,42.889,1.69,1,5
other-licenses/7zstub/src/7zip/Common/LockedStream,1.594,40.549,1.69,2,6
modules/freetype2/src/pfr/pfrobjs,4.22,13.333,0.473,6,7
nsIPromptService,1.304,0.0,0.473,0,0
media/libpng/pngwrite,1.39,1.6,1.69,1,14
netwerk/protocol/http/HttpInfo,1.656,0.0,1.69,1,4
media/mtransport/third_party/nICEr/src/ice/ice_handler,1.705,0.0,1.69,7,1
rdf/build/nsRDFModule,1.304,0.0,1.69,0,21
layout/forms/nsButtonFrameRenderer,1.386,19.667,1.69,2,26
toolkit/crashreporter/mac_utils,1.304,0.0,1.69,0,1
toolkit/xre/test/win/TestXREMakeCommandLineWin,1.304,0.0,1.69,0,2
media/webrtc/trunk/webrtc/common_audio/signal_processing/refl_coef_to_lpc,1.488,0.0,1.69,2,1
ipc/chromium/src/third_party/libevent/include/event2/http_struct,4.225,43208.152,1.69,12,7
usr/include/pulse/timeval,1.304,0.0,0.473,0,0
media/webrtc/trunk/webrtc/modules/desktop_capture/x11/shared_x_util,1.602,755.423,1.69,4,12
intl/strres/nsStringBundleService,1.394,122.558,1.69,2,9
media/webrtc/trunk/webrtc/base/scoped_ptr,12.598,81827.931,1.69,59,8
mozilla/gfx/Tools,1.304,0.0,0.473,0,0
ipc/chromium/src/base/atomicops_internals_x86_gcc,3.255,4331.077,1.69,3,7
media/webrtc/trunk/webrtc/modules/audio_processing/utility/delay_estimator,2.638,6415.531,1.69,4,6
media/libvpx/vp9/encoder/vp9_pickmode,1.358,80.181,1.69,2,35
media/webrtc/trunk/webrtc/modules/desktop_capture/differ_block_sse2,2.248,0.0,1.69,2,3
dom/html/HTMLBRElement,1.304,0.0,1.69,0,17
modules/freetype2/include/ftrender,1.501,3.0,1.69,1,7
media/webrtc/trunk/tools/gyp/test/mac/ldflags/subdirectory/file,1.304,0.0,0.473,0,0
gfx/src/nsRect,79.734,454578.115,1.69,386,13
toolkit/components/typeaheadfind/nsTypeAheadFind,1.695,6376.597,1.69,2,50
mozilla/dom/SVGFEColorMatrixElementBinding,1.304,0.0,0.473,0,0
windows.devices.input,1.304,0.0,0.473,0,0
build/stlport/src/num_put_float,1.383,93.49,1.69,1,4
modules/freetype2/src/base/ftcalc,8.648,0.0,1.689,7,0
