node,page_rank,betweenness,closeness,indegree,outdegree
netwerk/protocol/about/nsAboutBloat,1.59,0.0,2.076,0,1
netwerk/sctp/src/netinet/sctp_ss_functions,1.771,0.0,2.077,2,3
content/xslt/src/xpath/nsXPathExpression,1.679,2.342,2.077,2,25
gfx/skia/src/image/SkImagePriv,2.783,25910.891,2.077,12,17
gfx/harfbuzz/src/hb-ot-shape-complex-sea-machine,1.697,0.0,2.076,1,5
content/base/src/nsDOMDataChannelDeclarations,1.645,0.0,2.077,2,3
nsIDashboard,1.59,0.0,0.553,0,0
xpcom/tests/TestCOMPtrEq,1.59,0.0,2.077,0,3
nsIUDPServerSocket,1.59,0.0,0.553,0,0
content/xslt/src/xpath/nsXPathResult,1.747,938.002,2.077,4,32
netwerk/sctp/src/user_malloc,3.468,1547.549,2.077,3,4
ipc/chromium/src/base/dir_reader_linux,2.354,2886.382,2.077,2,6
security/nss/lib/util/derenc,1.615,153.71,2.077,1,9
security/nss/lib/certdb/certt,28.032,126858.732,2.077,198,22
dom/quota/QuotaManager,1.974,168365.18,2.077,6,55
nsprpub/pr/tests/lazyinit,1.59,0.0,2.077,0,16
media/webrtc/trunk/tools/gyp/test/win/long-command-line/function,1.59,0.0,0.553,0,0
netwerk/test/TestServ,1.59,0.0,2.077,0,17
netinet6/in6_pcb,1.59,0.0,0.553,0,0
intl/icu/source/i18n/indiancal,1.746,3033.825,2.077,2,18
mfobjects,1.59,0.0,0.553,0,0
extensions/universalchardet/src/base/nsBig5Prober,1.965,249.954,2.077,2,7
gfx/skia/include/core/SkGeometry,6.439,125.048,2.077,16,4
mozilla/dom/SVGFEColorMatrixElement,1.59,0.0,0.553,0,0
netwerk/protocol/http/nsHttpConnectionMgr,2.236,37168.607,2.077,9,55
content/base/src/nsAttrValueOrString,3.393,27.369,2.077,15,4
gfx/skia/src/core/SkFilterShader,1.855,1.912,2.077,2,15
mozilla/plugins/PPluginSurfaceParent,1.59,0.0,0.553,0,0
gfx/layers/ImageLayers,3.702,22407.415,2.077,23,13
opus/opus,1.59,0.0,0.553,0,0
modules/zlib/src/trees,2.944,735.683,2.076,2,10
security/nss/cmd/libpkix/pkix_pl/pki/test_nameconstraints,1.608,11.139,2.076,1,12
intl/locale/src/nsUConvPropertySearch,2.397,1743.187,2.077,6,8
modules/freetype2/include/freetype/fttypes,73.181,290054.15,2.077,206,6
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/min_distortion,1.645,0.0,2.077,1,3
nsICachingChannel,1.59,0.0,0.553,0,0
layout/inspector/src/inFlasher,1.649,16.166,2.077,2,29
nsIScriptableDateFormat,1.59,0.0,0.553,0,0
intl/icu/source/i18n/zonemeta,2.573,21180.055,2.077,6,25
nsIHttpEventSink,1.59,0.0,0.553,0,0
gfx/cairo/cairo/src/cairo-image-surface,21.196,392301.965,2.077,51,57
dem,1.59,0.0,0.553,0,0
modules/freetype2/src/gzip/inflate,2.024,54.5,2.076,3,9
netwerk/test/TestOverlappedIO,1.59,0.0,2.077,0,18
nspr/prtypes,1.59,0.0,0.553,0,0
nsIDOMWindowB2G,1.59,0.0,0.553,0,0
media/webrtc/trunk/webrtc/modules/video_coding/main/source/fec_tables_xor,1.7,0.0,2.076,1,0
toolkit/crashreporter/google-breakpad/src/processor/basic_code_module,1.858,21.579,2.077,3,3
