node,page_rank,betweenness,closeness,indegree,outdegree
gfx/skia/src/core/SkRegionPriv,3.323,511.897,2.333,3,11
mfbt/Compiler,1.677,0.0,0.62,0,0
security/nss/lib/ckfw/wrap,1.677,0.0,2.333,0,17
media/libcubeb/include/cubeb,1.677,0.0,2.332,0,1
content/svg/content/src/SVGViewElement,1.804,309.035,2.333,1,16
media/mtransport/m_cpp_utils,3.327,0.0,2.333,12,0
media/webrtc/trunk/webrtc/modules/audio_device/test/func_test_manager,2.649,5952.11,2.333,2,21
gmock/gmock,1.677,0.0,0.62,0,0
security/nss/cmd/libpkix/sample_apps/dumpcrl,1.697,19.683,2.333,1,23
media/webrtc/trunk/webrtc/modules/udp_transport/source/udp_socket_manager_wrapper,4.407,33662.837,2.333,10,4
content/canvas/src/WebGLExtensionCompressedTextureS3TC,1.677,0.0,2.333,0,7
gfx/skia/include/core/SkPreConfig,331.603,320851.193,2.333,263,2
js/src/jsfriendapi,41.045,141484.784,2.333,170,44
ipc/chromium/src/third_party/libevent/evdns,2.115,417.967,2.333,2,13
dom/plugins/base/nsPluginsDirUtils,1.856,32.631,2.333,2,7
security/nss/lib/pk11wrap/pk11slot,7.688,94303.0,2.333,92,40
toolkit/crashreporter/google-breakpad/src/processor/range_map_unittest,1.677,0.0,2.333,0,7
security/nss/lib/libpkix/pkix/checker/pkix_nameconstraintschecker,3.225,0.222,2.333,4,11
usr/include/bits/waitflags,1.677,0.0,0.62,0,0
ipc/chromium/src/base/waitable_event_watcher,2.663,25589.961,2.333,8,6
ipc/chromium/src/base/scoped_cftyperef,2.917,0.0,2.333,3,1
nsIDirectoryEnumerator,1.677,0.0,0.62,0,0
js/src/ion/SnapshotReader,2.491,8.839,2.332,5,6
content/xml/document/public/nsIXMLContentSink,2.609,12929.606,2.333,15,6
layout/inspector/src/nsFontFace,1.85,4300.623,2.333,2,21
modules/freetype2/src/base/basepic,3.613,4.067,2.332,7,4
dos/exall,1.677,0.0,0.62,0,0
AccessibleHypertext_i,1.677,0.0,0.62,0,0
gfx/cairo/cairo/src/cairo-win32-printing-surface,1.71,118.002,2.333,1,36
media/mtransport/third_party/nICEr/src/net/nr_socket_local,2.019,0.0,2.333,5,2
js/src/ctypes/libffi/testsuite/libffi.call/nested_struct8,1.677,0.0,2.333,0,4
js/src/jscntxt,181.175,2192179.917,2.333,494,67
gfx/skia/src/animator/SkDrawable,5.04,40.372,2.333,22,5
mozilla/layers/ImageContainerChild,1.677,0.0,0.62,0,0
js/src/yarr/BumpPointerAllocator,12.242,42454.201,2.333,6,4
gfx/skia/src/core/SkBlitter,7.124,191774.873,2.333,29,46
ipc/chromium/src/base/sys_info_win,2.39,5200.838,2.333,1,6
media/webrtc/signaling/src/sipcc/core/sdp/sdp_os_defs,6.485,27212.506,2.333,15,6
gfx/graphite2/src/gr_logging,1.939,116.033,2.333,3,13
xpcom/string/public/nsCharTraits,90.418,22726.309,2.333,61,4
mozglue/linker/ElfLoader,2.993,6506.197,2.333,7,12
media/webrtc/trunk/webrtc/modules/video_coding/codecs/vp8/include/vp8,2.236,1.117,2.333,7,1
content/events/src/nsDOMTransitionEvent,1.786,0.0,2.333,1,14
gfx/skia/include/gpu/GrPoint,6.891,135.317,2.333,24,3
js/xpconnect/src/XPCJSRuntime,2.891,134948.901,2.333,18,82
other-licenses/7zstub/src/7zip/UI/Common/OpenArchive,1.835,541.581,2.333,2,23
nsIAuthPrompt,1.677,0.0,0.62,0,0
nsIDOMValidityState,1.677,0.0,0.62,0,0
embedding/components/appstartup/src/nsAppStartupNotifier,1.866,71.673,2.333,2,16
nsprpub/pr/src/misc/prerrortable,6.252,9214.81,2.333,44,5
js/src/ion/x86/CodeGenerator-x86,2.302,99132.299,2.333,10,34
dom/base/nsDOMException,2.196,3091.532,2.333,6,19
dom/ipc/Blob,2.09,17396.381,2.333,6,28
content/xslt/src/xpath/txLocationStep,1.768,10676.173,2.333,1,16
security/nss/lib/ckfw/instance,5.241,3686.037,2.333,11,14
widget/cocoa/nsMacDockSupport,1.677,0.0,2.333,0,3
intl/chardet/src/nsCyrillicDetector,2.428,5059.298,2.333,3,14
security/nss/lib/libpkix/pkix_pl_nss/pki/pkix_pl_crl,4.913,4244.957,2.333,14,37
security/nss/cmd/dbck/dbrecover,1.677,0.0,2.333,0,6
surfaceflinger/ISurface,1.677,0.0,0.62,0,0
gfx/angle/src/libGLESv2/shaders/luminanceps,1.79,0.0,2.332,1,0
gfx/skia/include/pdf/SkPDFDocument,1.974,551.481,2.333,2,7
media/omx-plugin/include/gb/android/rect,4.018,0.0,2.332,2,0
accessible/src/base/nsAccCache,2.015,24.153,2.333,3,10
intl/uconv/ucvko/nsUnicodeToJohab,1.9,0.041,2.333,2,8
nsIMessageManager,1.677,0.0,0.62,0,0
content/media/webaudio/ReportDecodeResultTask,1.677,0.0,2.333,0,4
extensions/universalchardet/src/base/nsCharSetProber,18.889,66036.635,2.333,16,4
parser/html/nsHtml5Module,2.111,266743.79,2.333,7,26
content/smil/nsSMILTimeValueSpec,2.003,11103.058,2.333,3,32
nsprpub/pr/tests/addrstr,1.677,0.0,2.333,0,3
media/webrtc/signaling/src/sipcc/core/includes/kpmlmap,3.546,5706.549,2.333,7,6
Bitmap,1.677,0.0,0.62,0,0
security/nss/lib/libpkix/include/pkix_util,8.349,0.0,2.332,6,1
uriloader/exthandler/ExternalHelperAppParent,1.76,0.0,2.333,1,18
media/webrtc/trunk/webrtc/voice_engine/test/win_test/stdafx,25.611,0.0,2.333,5,1
gfx/skia/src/svg/SkSVGElements,9.747,10402.732,2.333,29,14
media/webrtc/signaling/src/media/CSFVideoTermination,1.84,15.719,2.333,3,2
packon,1.677,0.0,0.62,0,0
content/html/content/src/HTMLUnknownElement,1.806,127.442,2.333,2,15
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/test/NETEQTEST_CodecClass,2.212,0.0,2.333,3,5
xpcom/glue/nsISupportsUtils,162.835,1243698.856,2.333,912,7
other-licenses/7zstub/src/Common/CRC,2.499,30.314,2.333,3,5
gfx/thebes/gfxMacPlatformFontList,1.865,252.427,2.333,3,9
gfx/skia/src/animator/SkDisplayApply,3.467,919.212,2.333,15,32
layout/svg/nsSVGTextFrame,1.861,2328.418,2.333,5,35
modules/freetype2/src/base/ftapi,1.677,0.0,2.333,0,9
mozilla/throw_msvc,1.677,0.0,0.62,0,0
netwerk/srtp/src/include/srtp_priv,4.053,35853.431,2.333,6,10
netinet/sctp_lock_bsd,1.677,0.0,0.62,0,0
amr_interface,1.677,0.0,0.62,0,0
UIAutomationCoreApi,1.677,0.0,0.62,0,0
xpcom/reflect/xptcall/src/xptcprivate,32.201,195323.191,2.333,75,5
xpcom/glue/nsCycleCollectionParticipant,110.812,41366.046,2.333,366,12
AccessibleText_i,1.677,0.0,0.62,0,0
gfx/angle/src/compiler/intermOut,4.952,819.485,2.332,4,6
nsIDOMWakeLockListener,1.677,0.0,0.62,0,0
nsIPrompt,1.677,0.0,0.62,0,0
layout/style/nsCSSRules,2.843,329728.719,2.333,10,51
js/src/ion/Ion,7.914,532222.676,2.333,37,74
mozilla/_ipdltest/PTestActorPunningParent,1.677,0.0,0.62,0,0
layout/base/nsLayoutDebugger,1.677,0.0,2.333,0,4
security/nss/lib/libpkix/pkix/util/pkix_logger,31.304,5963.475,2.333,59,13
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/acm_red,1.981,1171.735,2.333,2,9
content/base/public/nsCopySupport,1.995,15.664,2.333,8,8
g7291_interface,1.677,0.0,0.62,0,0
storage/src/mozStorageBindingParamsArray,2.314,1753.729,2.333,6,14
