node,page_rank,betweenness,closeness,indegree,outdegree
gfx/skia/src/animator/SkPostParts,2.859,5502.039,3.154,4,13
xpcom/string/public/string-template-def-unichar,101.002,36113.743,3.154,30,3
nsprpub/pr/tests/sprintf,2.371,0.0,3.154,0,11
gfx/skia/include/core/SkColorPriv,32.703,211300.273,3.154,61,11
media/libtheora/include/theora/theora,11.349,0.0,3.153,3,2
xpcIJSWeakReference,2.371,0.0,0.808,0,0
usr/include/sys/unistd,2.371,0.0,0.808,0,0
mozilla/TimeStamp,2.371,0.0,0.808,0,0
modules/zlib/src/inffast,3.275,0.0,3.153,3,7
gfx/skia/src/utils/SkMeshUtils,2.371,0.0,3.154,0,12
intl/uconv/ucvlatin/nsUnicodeToISO88596I,2.794,0.026,3.154,2,6
gfx/skia/src/effects/SkTransparentShader,2.371,0.0,3.154,0,17
gfx/harfbuzz/src/hb-buffer,16.149,6403.339,3.154,28,12
gfx/ots/src/gdef,5.202,2839.0,3.154,5,9
nsIProcess,2.371,0.0,0.808,0,0
ipc/chromium/src/base/directory_watcher_inotify,2.371,0.0,3.154,0,17
nsIDOMNode,2.371,0.0,0.808,0,0
intl/chardet/src/nsCharDetConstructors,2.659,0.5,3.153,1,4
netwerk/protocol/viewsource/nsViewSourceChannel,2.578,52.778,3.154,2,24
media/libvorbis/lib/scales,4.513,2.446,3.153,10,2
gfx/harfbuzz/src/hb-gobject-enums,2.371,0.0,3.153,0,2
net/base/registry_controlled_domain,2.371,0.0,0.808,0,0
extensions/cookie/nsCookiePermission,2.761,131.999,3.154,2,23
binder/IMemory,2.371,0.0,0.808,0,0
content/svg/content/src/nsSVGUnknownElement,2.413,9.856,3.154,1,14
nsISliderListener,2.371,0.0,0.808,0,0
nsIUnicharLineInputStream,2.371,0.0,0.808,0,0
sys/auxv,2.371,0.0,0.808,0,0
content/base/public/nsIMutationObserver,14.949,85.781,3.154,54,7
media/libvpx/vpx_config,141.098,7.167,3.153,18,1
dom/plugins/base/android/ANPKeyCodes,3.329,0.0,3.153,1,0
gfx/cairo/cairo/src/cairo-quartz-surface,2.874,2421.432,3.154,3,28
gfx/harfbuzz/src/hb-ot-hmtx-table,2.978,15.4,3.154,1,4
gfx/skia/src/core/SkRasterClip,5.396,22841.697,3.154,14,13
gfx/thebes/gfxMacPlatformFontList,2.611,134.792,3.154,3,10
gfx/angle/src/compiler/glslang_lex,7.215,186165.567,3.154,8,16
modules/freetype2/src/sfnt/ttmtx,2.929,1.017,3.153,3,9
js/xpconnect/public/xpc_map_end,3.789,656.377,3.154,13,11
modules/freetype2/src/cid/cidriver,2.968,879.147,3.154,2,13
gfx/cairo/cairo/src/cairo-features-win32,2.371,0.0,0.808,0,0
toolkit/crashreporter/google-breakpad/src/common/windows/pdb_source_line_writer,7.483,4.0,3.153,4,3
nsPISocketTransportService,2.371,0.0,0.808,0,0
media/libvpx/vp8/common/textblit,2.371,0.0,0.808,0,0
structmember,2.371,0.0,0.808,0,0
other-licenses/atk-1.0/atk/atk-enum-types,2.371,0.0,0.808,0,0
nsIRDFXMLParser,2.371,0.0,0.808,0,0
gfx/cairo/cairo/src/cairo-path-fixed,14.518,30039.18,3.154,30,19
security/nss/cmd/libpkix/pkix/util/test_error,2.399,0.91,3.154,1,12
parser/expat/lib/nametab,3.107,0.0,3.153,1,0
parser/htmlparser/src/nsParserModule,2.371,0.0,3.154,0,22
tools/profiler/libunwind/src/src/ppc32/Lstep,2.371,0.0,3.153,0,1
caps/include/nsJSPrincipals,4.645,1605.155,3.154,22,2
nsISample,2.371,0.0,0.808,0,0
js/src/ctypes/libffi/testsuite/libffi.call/return_fl2,2.371,0.0,3.154,0,2
dom/plugins/base/android/ANPEvent,2.371,0.0,3.154,0,6
xpcom/io/nsStreamUtils,6.983,9216.033,3.154,46,18
gfx/skia/third_party/glu/libtess/priorityq-heap,5.996,8754.294,3.154,5,7
mozilla/dom/sms/SmsChild,2.371,0.0,0.808,0,0
xpcom/base/nsDebugImpl,34.415,332130.274,3.154,87,29
gfx/cairo/cairo/src/cairo-surface-fallback,2.941,665.951,3.154,2,37
media/libvorbis/lib/highlevel,4.06,0.0,3.153,1,0
content/html/document/src/nsHTMLDocument,2.856,12311.889,3.154,10,99
gfx/skia/include/views/SkOSWindow_Mac,2.371,0.0,3.153,0,7
security/nss/lib/smime/cmscinfo,3.46,27003.427,3.154,12,20
xpcom/glue/nsEnumeratorUtils,4.269,676.941,3.154,22,14
mozilla/dom/PAudioChild,2.371,0.0,0.808,0,0
mozilla/dom/indexedDB/IndexedDatabaseManager,2.371,0.0,0.808,0,0
gfx/graphite2/src/inc/FeatureVal,10.491,9868.104,3.154,14,3
security/nss/lib/ssl/sslproto,5.251,0.0,3.154,25,0
netwerk/base/src/nsIncrementalDownload,2.371,0.0,3.154,0,28
xpcom/reflect/xptcall/src/md/unix/xptcstubs_mips,2.371,0.0,3.154,0,10
usr/include/sqlite3,2.371,0.0,0.808,0,0
other-licenses/nsis/Contrib/ServicesHelper/Services,7.093,0.0,3.152,4,0
intl/uconv/ucvibm/cp855,2.371,0.0,0.808,0,0
content/events/public/nsIPrivateDOMEvent,7.644,5685.819,3.154,63,8
gfx/thebes/gfxColor,10.648,8167.682,3.154,47,5
nsIDOMBarProp,2.371,0.0,0.808,0,0
widget/windows/nsImageClipboard,2.64,27.296,3.154,3,16
modules/freetype2/src/base/ftbitmap,2.371,0.0,3.154,0,11
accessible/src/base/AccCollector,3.229,3.591,3.154,3,7
js/src/gc/Barrier-inl,7.283,220.332,3.154,7,10
security/manager/ssl/src/nsNSSCertValidity,2.524,8.654,3.154,3,26
security/coreconf/mkdepend/parse,6.179,4089.655,3.154,9,7
editor/txtsvc/public/nsISpellChecker,2.719,8.541,3.154,3,4
media/libjpeg/jcmainct,2.839,0.091,3.154,2,5
security/nss/lib/freebl/shvfy,2.371,0.0,3.154,0,14
nsILayoutRegressionTester,2.371,0.0,0.808,0,0
security/nss/lib/libpkix/include/pkix_pl_system,7.87,15.544,3.154,5,3
ipc/chromium/src/third_party/libevent/test/bench,2.371,0.0,3.154,0,5
gfx/skia/src/pdf/SkPDFFormXObject,2.408,0.651,3.153,1,14
layout/mathml/nsMathMLContainerFrame,4.362,16393.486,3.154,23,59
gfx/cairo/cairo/src/cairo-analysis-surface,2.94,14068.515,3.154,6,23
gfx/skia/src/gpu/GrInOrderDrawBuffer,2.909,17790.131,3.154,3,27
gfx/ots/src/metrics,4.695,1.483,3.154,5,6
toolkit/crashreporter/google-breakpad/src/client/linux/minidump_writer/minidump_extension_linux,2.734,12.267,3.153,2,2
toolkit/mozapps/update/updater/bspatch,12.375,49564.072,3.154,15,5
gfx/cairo/cairo/src/cairo-script,2.412,0.0,3.154,1,1
Archive/GZip/GZipHandler,2.371,0.0,0.808,0,0
modules/freetype2/src/pshinter/pshmod,2.774,123.952,3.153,1,10
gfx/cairo/libpixman/src/pixman-vmx,2.371,0.0,3.154,0,7
toolkit/components/telemetry/Telemetry,4.665,101440.738,3.154,8,39
gfx/src/nsCoord,90.901,21745.952,3.154,205,6
security/nss/lib/certdb/xbsconst,2.785,525.44,3.154,5,15
widget/os2/rwserr,2.47,0.0,3.154,1,0
widget/qt/mozSwipeGesture,4.22,0.0,3.154,2,2
gfx/graphite2/src/inc/Pass,4.348,16.876,3.153,3,7
media/libvpx/vpx_mem/vpx_mem,1315.709,674232.361,3.155,1266,4
dom/base/nsDOMClassInfoID,16.707,39999.054,3.154,69,6
dom/power/PowerManagerService,2.493,8.839,3.154,2,20
gfx/skia/include/effects/SkTableMaskFilter,2.474,0.0,3.154,1,12
mozilla/_ipdltest/PTestOpensChild,2.371,0.0,0.808,0,0
nsprpub/pr/tests/sel_spd,2.371,0.0,3.154,0,18
gfx/angle/src/compiler/ShHandle,6.294,36563.172,3.153,9,10
mbstring,2.371,0.0,0.808,0,0
content/xbl/src/nsXBLPrototypeHandler,2.818,1339.313,3.154,8,52
embedding/components/printingui/src/win/nsPrintProgressParams,2.712,4.832,3.154,2,10
content/xbl/src/nsXBLProtoImpl,2.54,6001.675,3.154,3,31
gfx/skia/include/gpu/GrRect,21.636,16117.122,3.153,28,3
security/nss/lib/freebl/mpi/mpcpucache,4.571,2002.814,3.153,2,1
winspool,2.371,0.0,0.808,0,0
intl/unicharutil/public/nsICaseConversion,3.781,0.458,3.154,3,2
OpenGL/OpenGL,2.371,0.0,0.808,0,0
gfx/thebes/gfxReusableSurfaceWrapper,2.64,27.72,3.154,2,14
security/nss/lib/freebl/mpi/utils/exptmod,2.371,0.0,3.153,0,2
media/libvpx/vpx_version,4.219,0.0,3.153,3,0
toolkit/crashreporter/client/crashreporter_gtk_common,4.485,6019.154,3.154,3,10
other-licenses/7zstub/src/7zip/Common/StdAfx,112.776,37535.8,3.153,71,2
js/src/assembler/TestMain,2.371,0.0,3.153,0,11
content/smil/nsSMILCompositorTable,2.592,0.0,3.154,2,1
mozilla/dom/bindings/Utils,2.371,0.0,0.808,0,0
toolkit/mozapps/update/updater/progressui,7.901,8067.0,3.153,6,2
js/src/jsapi-tests/testNewObject,2.371,0.0,3.154,0,6
mfbt/Util,3.862,2292.744,3.154,5,1
big5,2.371,0.0,0.808,0,0
libunwind,2.371,0.0,0.808,0,0
security/manager/ssl/src/nsClientAuthRemember,2.484,252.342,3.154,3,41
toolkit/components/maintenanceservice/registrycertificates,2.91,2.5,3.154,2,7
mozilla/_ipdltest/PTestRacyRPCRepliesParent,2.371,0.0,0.808,0,0
accessible/src/base/nsAccessNode,14.071,19576.351,3.154,70,31
gfx/harfbuzz/src/hb-fallback-shape,2.988,0.0,3.153,1,7
toolkit/crashreporter/google-breakpad/src/common/module,8.551,23.0,3.153,12,4
gfx/harfbuzz/src/hb-ot-shape-complex-indic-machine,2.583,0.0,3.153,1,6
ipc/chromium/src/base/rand_util,6.565,4013.126,3.154,7,5
nsprpub/pr/tests/udpsrv,2.371,0.0,3.154,0,22
accessible/src/other/nsAccessibleWrap,2.592,0.0,3.154,1,10
security/manager/ssl/src/nsNTLMAuthModule,2.48,52.431,3.154,2,37
dom/indexedDB/FileManager,2.777,3231.744,3.154,5,25
nsIX509Cert2,2.371,0.0,0.808,0,0
widget/gtk2/nsImageToPixbuf,2.79,9145.876,3.154,5,17
security/nss/lib/freebl/camellia,4.344,497.331,3.154,3,11
intl/uconv/ucvlatin/macturki,2.371,0.0,0.808,0,0
nsIStrictTransportSecurityService,2.371,0.0,0.808,0,0
ipc/chromium/src/testing/gtest/include/gtest/gtest-message,51.915,21590.768,3.154,95,3
widget/gtk2/nsToolkit,3.238,0.0,3.154,3,2
content/svg/content/src/DOMSVGAnimatedLengthList,3.186,148.99,3.154,6,17
qabstracteventdispatcher,2.371,0.0,0.808,0,0
usr/include/utime,2.371,0.0,0.808,0,0
modules/freetype2/include/freetype/ftgasp,2.707,0.0,3.154,1,5
nsprpub/pr/tests/pipeself,2.371,0.0,3.154,0,12
widget/gonk/libui/BitSet,3.33,0.0,3.154,4,1
qapplication,2.371,0.0,0.808,0,0
mozilla/_ipdltest/PTestDescChild,2.371,0.0,0.808,0,0
utils/Timers,2.371,0.0,0.808,0,0
widget/gtk2/nsSound,2.607,118.464,3.154,3,31
gfx/skia/include/core/SkColorFilter,7.323,5388.733,3.154,22,15
usr/include/bfd,2.371,0.0,0.808,0,0
content/xslt/src/xpath/txResultRecycler,10.693,22368.298,3.154,36,19
OLEIDL,2.371,0.0,0.808,0,0
chrome/browser/meta_table_helper,2.371,0.0,0.808,0,0
usr/include/grp,2.371,0.0,0.808,0,0
config/mkdepend/pr,2.371,0.0,3.153,0,6
ipc/chromium/src/base/tracked_objects,7.102,39992.227,3.154,3,11
mozilla/_ipdltest/PTestLatencyChild,2.371,0.0,0.808,0,0
image/decoders/nsGIFDecoder2,2.539,12017.674,3.154,2,21
content/svg/content/src/SVGTransform,3.346,2493.329,3.154,7,14
gfx/skia/include/core/SkImageFilter,5.14,33.612,3.153,11,7
nsprpub/pr/include/prcmon,4.854,898.103,3.154,7,4
AccessibleStates,2.371,0.0,0.808,0,0
xpcom/threads/nsProcess,2.585,8752.611,3.154,2,11
xpcom/ds/nsStaticNameTable,4.32,1141.98,3.154,4,14
nsprpub/pr/src/md/unix/reliantunix,2.371,0.0,3.154,0,9
gfx/angle/tests/preprocessor_tests/number_test,2.371,0.0,3.153,0,6
intl/uconv/util/nsUnicodeEncodeHelper,3.325,1213.702,3.154,3,11
dom/indexedDB/CheckPermissionsHelper,2.495,162.434,3.154,2,27
gfx/cairo/cairo/src/cairo-vg,2.432,0.0,3.153,1,1
gfx/angle/src/libGLESv2/IndexDataManager,3.321,55.373,3.154,4,13
tools/profiler/libunwind/src/src/hppa/Linit_local,2.371,0.0,3.153,0,1
gfx/2d/ScaledFontMac,2.931,0.0,3.153,2,7
js/src/assembler/assembler/AssemblerBuffer,2.99,4.361,3.154,1,5
gfx/angle/src/compiler/Intermediate,4.698,126268.86,3.154,5,11
gfx/skia/include/views/SkWidgetViews,3.573,840.094,3.154,9,20
security/nss/cmd/libpkix/pkix/top/test_validatechain,2.399,1.714,3.154,1,19
security/nss/cmd/tests/nonspr10,2.371,0.0,3.154,0,72
mozIStorageFunction,2.371,0.0,0.808,0,0
gfx/skia/src/core/SkShape,3.018,279.299,3.153,4,9
modules/freetype2/include/freetype/ftadvanc,3.093,0.167,3.154,5,3
nsIIDBDatabase,2.371,0.0,0.808,0,0
tools/profiler/libunwind/src/src/mi/Gdestroy_addr_space,4.387,4032.0,3.153,1,1
js/src/jshash,9.316,8491.054,3.154,10,5
media/libvpx/vpx/vpx_encoder,7.312,7029.124,3.154,8,4
tools/profiler/libunwind/src/src/dwarf/global,6.742,2476.686,3.153,3,5
media/libvpx/vp8/decoder/dequantize,8.33,22781.049,3.154,12,7
nsILDAPOperation,2.371,0.0,0.808,0,0
image/src/EndianMacros,2.811,4.0,3.154,4,1
gfx/skia/src/core/SkRegion,11.456,48325.097,3.154,22,14
mozilla/ipc/PTestShellParent,2.371,0.0,0.808,0,0
security/nss/cmd/libpkix/testutil/testutil_nss,12.394,46053.433,3.154,61,42
security/nss/lib/libpkix/pkix_pl_nss/system/pkix_pl_mutex,6.355,843.679,3.154,7,11
unixio,2.371,0.0,0.808,0,0
dom/src/offline/nsDOMOfflineResourceList,2.444,1040.886,3.154,2,46
dom/src/geolocation/nsGeolocation,2.824,200545.605,3.154,6,48
toolkit/crashreporter/google-breakpad/src/processor/minidump_dump,2.371,0.0,3.153,0,3
nsISemanticUnitScanner,2.371,0.0,0.808,0,0
gfx/skia/include/core/SkPackBits,3.478,0.0,3.154,6,2
intl/uconv/ucvtw2/nsEUCTWToUnicode,2.648,0.034,3.154,2,9
ipc/chromium/src/base/win_util_unittest,2.371,0.0,3.154,0,6
mozilla/net/NeckoParent,2.371,0.0,0.808,0,0
sys/exec_elf,2.371,0.0,0.808,0,0
js/src/dtoa,9.673,39918.382,3.154,2,4
security/nss/cmd/addbuiltin/addbuiltin,2.371,0.0,3.154,0,23
intl/uconv/public/nsIUnicodeEncoder,11.032,10574.623,3.154,30,7
netwerk/protocol/device/nsDeviceProtocolHandler,2.482,0.0,3.154,1,19
mozilla/ipc/PTestShellCommandChild,2.371,0.0,0.808,0,0
widget/xpwidgets/nsBaseClipboard,3.225,9226.263,3.154,4,15
tools/profiler/libunwind/src/src/ia64/Gscript,6.961,163997.551,3.154,7,11
nsICRLManager,2.371,0.0,0.808,0,0
security/nss/cmd/libpkix/pkix/params/test_trustanchor,2.399,1.793,3.154,1,10
usr/include/unicode/utypes,2.371,0.0,0.808,0,0
js/src/jsapi,155.074,2014659.849,3.154,435,82
gfx/skia/src/utils/SkSfntUtils,2.371,0.0,3.154,0,9
