node,page_rank,betweenness,closeness,indegree,outdegree
media/mtransport/sigslot,3.48,0.0,1.959,18,0
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/TestFEC,1.659,113.6,1.96,2,20
media/webrtc/trunk/webrtc/tools/frame_editing/frame_editing_unittest,1.508,0.0,1.959,0,9
modules/freetype2/src/tools/test_afm,1.508,0.0,1.959,0,9
intl/uconv/ucvlatin/nsUnicodeToMacArabic,1.736,0.227,1.959,2,7
gfx/skia/include/utils/SkDumpCanvas,2.79,7003.0,1.959,1,1
gfx/cairo/libpixman/src/pixman-inlines,2.72,1238.847,1.96,8,9
content/media/encoder/ContainerWriter,2.028,2.0,1.959,5,4
mozilla/dom/HTMLButtonElementBinding,1.508,0.0,0.522,0,0
media/webrtc/signaling/src/sipcc/core/sipstack/h/ccsip_register,2.04,1517.235,1.959,14,11
intl/icu/source/common/unicode/putil,6.727,0.2,1.959,19,2
media/omx-plugin/include/froyo/ui/egl/android_natives,3.241,33479.581,1.96,7,5
propkey,1.508,0.0,0.522,0,0
modules/libmar/tool/mar,1.508,0.0,1.96,0,11
toolkit/crashreporter/google-breakpad/src/third_party/glog/src/symbolize,2.317,303.128,1.96,6,13
mozilla/dom/mobilemessage/PMobileMessageCursorParent,1.508,0.0,0.522,0,0
memory/build/mozmemory,1.765,12.111,1.959,1,2
security/manager/ssl/src/nsUsageArrayHelper,1.575,33.776,1.96,2,30
media/webrtc/signaling/test/FakePCObserver,1.533,27.498,1.959,1,13
gfx/2d/RadialGradientEffectD2D1,2.405,149594.38,1.959,6,7
gfx/skia/include/ports/SkTypeface_win,1.555,0.0,1.959,2,2
security/nss/lib/libpkix/pkix_pl_nss/module/pkix_pl_colcertstore,3.687,5669.182,1.959,13,37
nsIDOMMouseEvent,1.508,0.0,0.522,0,0
dom/base/MessagePortList,1.623,0.0,1.96,1,12
security/nss/lib/nss/nssver,1.617,0.0,1.959,1,1
build/stlport/stlport/stl/config/_mlc,1.508,0.0,0.522,0,0
storage/src/mozStorageBindingParams,1.784,66730.075,1.96,5,33
js/src/ctypes/libffi/testsuite/libffi.call/closure_fn2,1.508,0.0,1.959,0,3
usr/include/bits/syscall,1.508,0.0,0.522,0,0
dom/plugins/ipc/PluginScriptableObjectUtils-inl,1.828,269.749,1.96,3,10
media/webrtc/signaling/src/sipcc/core/includes/subapi,2.703,2195.129,1.959,13,4
media/webrtc/trunk/webrtc/video_engine/test/common/vcm_capturer,1.868,63.374,1.96,2,14
mozilla/dom/SVGTransformBinding,1.508,0.0,0.522,0,0
intl/icu/source/i18n/uspoof,1.579,279.705,1.96,1,23
intl/icu/source/extra/uconv/uwmsg,1.55,486.899,1.96,1,16
media/libcubeb/src/android/audiotrack_definitions,2.258,0.0,1.959,3,0
usr/include/sys/syslog,1.508,0.0,0.522,0,0
media/webrtc/trunk/tools/gyp/test/builddir/src/func2,2.79,0.0,0.522,1,0
dom/plugins/ipc/AStream,1.508,0.0,0.522,0,0
gfx/skia/src/core/SkData,2.957,4172.133,1.96,10,18
memory/jemalloc/src/src/base,4.306,429.679,1.959,8,4
mozilla/dom/HTMLFontElementBinding,1.508,0.0,0.522,0,0
mozilla/dom/USSDReceivedEvent,1.508,0.0,0.522,0,0
winnls,1.508,0.0,0.522,0,0
build/stlport/stlport/stl/debug/_iterator,26.478,2832.126,1.959,8,6
security/sandbox/chromium/base/win/windows_version,6.6,33144.046,1.959,26,8
js/src/jit/Snapshots,1.652,13.13,1.96,1,14
content/base/src/TreeWalker,1.572,0.0,1.96,1,21
mozilla/dom/SVGFilterElement,1.508,0.0,0.522,0,0
intl/icu/source/i18n/rbt,1.807,523.324,1.959,5,18
js/src/jit/x86/Lowering-x86,1.593,0.0,1.96,1,16
usr/include/X11/XF86keysym,1.508,0.0,0.522,0,0
nsprpub/pr/include/md/_linux,2.025,0.0,1.959,2,2
nsprpub/pr/src/md/beos/bmisc,1.508,0.0,1.959,0,4
dom/xbl/nsXBLWindowKeyHandler,1.571,39.535,1.96,2,38
bluetooth/sco,1.508,0.0,0.522,0,0
security/nss/cmd/lib/secutil,7.111,191080.871,1.96,75,86
dom/workers/MessagePort,1.643,28.782,1.96,3,27
layout/generic/nsHTMLReflowState,8.735,395870.824,1.96,83,46
gfx/angle/src/compiler/util,10.908,0.0,1.959,2,1
editor/libeditor/base/InsertTextTxn,1.626,0.0,1.96,2,17
mozilla/dom/CallbackInterface,1.508,0.0,0.522,0,0
security/sandbox/chromium/base/files/file_path,8.251,32619.782,1.959,10,10
gfx/skia/src/gpu/GrInOrderDrawBuffer,1.782,23225.51,1.959,3,40
gfx/harfbuzz/src/hb-fallback-shape,1.508,0.0,1.959,0,11
media/libtheora/lib/x86_vc/mmxidct,1.508,0.0,1.959,0,2
mozilla/dom/CameraManagerBinding,1.508,0.0,0.522,0,0
media/webrtc/trunk/webrtc/modules/video_coding/utility/include/exp_filter,3.253,0.0,1.959,5,0
mozilla/ipc/FileDescriptor,1.508,0.0,0.522,0,0
media/libvpx/vp9/encoder/vp9_picklpf,2.011,1502.773,1.96,3,17
usr/include/unicode/unimatch,1.508,0.0,0.522,0,0
ipc/ipdl/test/cxx/TestRPC,1.757,0.0,1.959,1,6
caps/src/nsScriptSecurityManager,1.882,93571.835,1.96,5,64
dom/bindings/CallbackInterface,1.508,0.0,1.959,0,3
gfx/cairo/cairo/src/cairo-fixed-type-private,19.373,10258.035,1.96,57,3
