node,page_rank,betweenness,closeness,indegree,outdegree
media/webrtc/trunk/webrtc/system_wrappers/source/spreadsortlib/constants,3.313,0.0,2.013,1,0
gfx/skia/src/ports/SkImageDecoder_CG,1.641,0.0,2.014,0,15
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/accelerate,2.229,6196.496,2.013,3,7
security/manager/ssl/src/nsNSSShutDown,3.25,2609.911,2.014,31,12
Security/SecKey,1.641,0.0,0.541,0,0
js/xpconnect/src/nsScriptError,1.673,137.691,2.014,1,23
content/svg/content/src/SVGGElement,1.641,0.0,2.013,0,4
gfx/skia/src/core/SkTLList,1.853,1442.908,2.014,2,8
gfx/2d/RadialGradientEffectD2D1,2.842,138264.855,2.014,7,6
mozilla/MutationEvent,1.641,0.0,0.541,0,0
media/libtheora/lib/decapiwrapper,1.641,0.0,2.014,0,13
media/webrtc/trunk/webrtc/test/channel_transport/udp_socket_wrapper_unittest,1.641,0.0,2.014,0,7
nsIDOMDocument,1.641,0.0,0.541,0,0
modules/freetype2/src/autofit/afcjk,2.148,668.344,2.013,4,17
intl/uconv/ucvlatin/nsUnicodeToISO88596E,1.951,31.883,2.013,3,6
modules/freetype2/src/gxvalid/gxvmorx4,1.969,1.067,2.013,2,6
ui/Region,1.641,0.0,0.541,0,0
media/webrtc/trunk/webrtc/voice_engine/test/auto_test/fakes/fake_external_transport,1.891,26.07,2.014,2,12
layout/style/CSSCalc,2.057,4.5,2.013,3,4
gfx/harfbuzz/src/hb-ot-shape-complex-myanmar,1.825,20629.3,2.014,1,15
media/omx-plugin/include/ics/drm/DrmManagerClient,1.757,18.0,2.013,1,4
nsIWyciwygChannel,1.641,0.0,0.541,0,0
widget/gonk/libui/KeyCharacterMap,2.039,244.704,2.014,4,21
gfx/cairo/cairo/src/cairo-truetype-subset,1.641,0.0,2.013,0,3
nsIStringStream,1.641,0.0,0.541,0,0
media/webrtc/trunk/testing/gtest/include/gtest/gtest_pred_impl,8.929,21.199,2.013,7,3
gui/ConsumerBase,1.641,0.0,0.541,0,0
media/webrtc/trunk/webrtc/common_audio/signal_processing/spl_init,9.9,90399.268,2.013,49,9
gfx/layers/composite/ContainerLayerComposite,1.754,6.316,2.014,2,27
xpcom/tests/SizeTest04,1.641,0.0,2.013,0,2
content/base/src/nsChannelPolicy,2.18,0.091,2.014,8,11
media/webrtc/signaling/src/sipcc/core/sipstack/h/ccsip_sdp,2.611,8460.404,2.013,8,6
media/libsoundtouch/src/SoundTouch,1.836,0.0,2.013,1,8
intl/icu/source/common/unicode/uniset,8.324,278055.296,2.014,64,21
intl/uconv/src/nsUnicodeToUTF8,1.902,1571.774,2.014,3,11
media/webrtc/trunk/webrtc/modules/video_coding/main/source/timing,2.23,27289.558,2.014,6,13
