node,page_rank,betweenness,closeness,indegree,outdegree
security/coreconf/mkdepend/imakemdep,2.426,0.0,2.702,1,1
uriloader/exthandler/tests/WriteArgument,1.73,0.0,2.702,0,2
config/mkdepend/parse,4.841,62879.798,2.702,9,7
js/src/vm/String,112.405,99548.459,2.702,197,18
js/src/js,1.73,0.0,0.682,0,0
widget/cocoa/nsBidiKeyboard,1.73,0.0,0.682,0,0
gfx/skia/src/utils/mac/SkTextFieldCell,1.73,0.0,0.682,0,0
netwerk/streamconv/src/nsAppleFileDecoder,1.874,0.0,2.702,1,11
media/webrtc/trunk/src/modules/audio_coding/main/source/acm_isac,1.933,1139.403,2.702,2,17
media/webrtc/trunk/src/system_wrappers/source/condition_variable,2.594,0.0,2.702,6,1
gfx/skia/src/utils/mac/SampleAppDelegate,1.73,0.0,0.682,0,0
widget/gtk2/nsNativeThemeGTK,1.762,0.0,2.703,1,46
rdf/base/src/nsRDFContentSinkAtomList,1.772,0.0,2.702,1,0
SDL,1.73,0.0,0.682,0,0
parser/htmlparser/src/nsHTMLTags,2.435,1617.029,2.702,4,16
nsIDOMNavigatorUserMedia,1.73,0.0,0.682,0,0
Carbon/Carbon,1.73,0.0,0.682,0,0
gfx/graphite2/src/inc/SegCacheEntry,2.601,2163.625,2.702,4,5
gfx/skia/include/core/SkScalerContext,6.605,24106.163,2.702,22,14
ipc/chromium/src/chrome/common/net/url_util_unittest,1.73,0.0,2.702,0,3
xpcom/glue/standalone/nsGlueLinkingOSX,1.73,0.0,2.702,0,7
widget/gonk/libui/PointerController,1.946,28503.201,2.702,3,19
js/src/jsgc,27.094,106553.411,2.702,61,58
content/xslt/src/xpath/txBooleanExpr,1.73,0.0,2.702,0,10
other-licenses/7zstub/src/7zip/Archive/7z/7zIn,2.312,779.928,2.702,5,21
mozilla/dom/indexedDB/PIndexedDBRequestChild,1.73,0.0,0.682,0,0
media/webrtc/trunk/tools/gyp/test/actions-multiple/src/main,1.73,0.0,2.702,0,1
xpcom/glue/nsCycleCollectionParticipant,98.524,64942.168,2.702,326,11
embedding/components/printingui/src/mac/nsPrintingPromptService,1.73,0.0,2.702,0,5
media/webrtc/trunk/src/modules/video_coding/main/source/event,3.426,79.644,2.702,14,2
media/webrtc/trunk/tools/gyp/test/msvs/precompiled/precomp,1.73,0.0,0.682,0,0
tools/profiler/libunwind/src/src/ia64/Lrbs,1.73,0.0,2.701,0,1
security/nss/lib/softoken/legacydb/pcertt,3.519,459.945,2.702,14,12
gfx/skia/include/core/SkMatrix,31.19,386575.161,2.702,140,13
gfx/thebes/gfxHarfBuzzShaper,2.421,147564.324,2.702,6,44
content/xbl/src/nsXBLPrototypeHandler,2.11,2336.133,2.702,8,50
ipc/chromium/src/base/cpu,3.264,90.747,2.702,2,2
media/webrtc/trunk/src/voice_engine/main/interface/mock/mock_voe_connection_observer,1.893,23.455,2.701,1,6
nsICurrentCharsetListener,1.73,0.0,0.682,0,0
toolkit/crashreporter/google-breakpad/src/processor/stackwalker_unittest_utils,1.933,3.929,2.702,3,6
widget/cocoa/nsChildView,2.058,44316.516,2.702,5,16
sys/mpctl,1.73,0.0,0.682,0,0
tools/profiler/libunwind/src/src/elf64,10.982,14579.367,2.702,6,2
toolkit/crashreporter/client/crashreporter,5.728,52583.288,2.702,7,6
browser/components/migration/src/nsIEHistoryEnumerator,1.821,0.0,2.702,1,17
nsIDOMDocumentFragment,1.73,0.0,0.682,0,0
dom/system/gonk/Volume,2.624,2602.066,2.702,7,14
dom/file/FileStreamWrappers,1.857,23.227,2.702,2,18
widget/android/nsFilePicker,1.857,50.349,2.702,2,21
embedding/components/commandhandler/src/nsCommandGroup,1.902,174.603,2.702,2,20
ipc/chromium/src/base/logging,175.505,651137.069,2.702,212,11
media/libvpx/vp8/encoder/arm/neon/picklpf_arm,1.73,0.0,2.702,0,2
mozilla/ipc/RawDBusConnection,1.73,0.0,0.682,0,0
dom/system/windows/nsHapticFeedback,11.53,0.0,0.682,1,1
gfx/skia/src/animator/SkPathParts,2.072,56.156,2.702,4,15
dom/bluetooth/BluetoothPairingEvent,1.821,0.0,2.702,1,17
media/webrtc/trunk/src/modules/audio_coding/codecs/iSAC/main/source/spectrum_ar_model_tables,2.408,0.0,2.702,3,4
nsprpub/pr/tests/dlltest,1.73,0.0,2.702,0,12
gfx/angle/src/libGLESv2/Fence,2.579,4633.247,2.702,3,7
js/src/vm/RegExpStatics-inl,7.767,1522.314,2.702,8,11
security/nss/cmd/libpkix/pkix/util/test_list,1.75,2.011,2.702,1,12
security/nss/cmd/lib/ffs,6.475,0.0,2.702,5,0
ipc/chromium/src/chrome/common/property_bag,2.926,2266.455,2.702,2,3
tools/trace-malloc/spacetrace,2.429,5393.468,2.702,3,34
modules/freetype2/src/cache/ftcache,1.73,0.0,2.702,0,8
gfx/cairo/cairo/src/cairo-surface-clipper,2.329,16.041,2.702,9,7
security/nss/lib/libpkix/pkix_pl_nss/system/pkix_pl_oid,7.349,2437.892,2.702,27,17
tools/profiler/libunwind/src/src/dwarf/Gpe,3.2,4767.0,2.702,1,3
net/http/http_response_headers,1.73,0.0,0.682,0,0
content/events/src/nsEventDispatcher,1.757,54.056,2.702,1,25
gfx/graphite2/src/inc/Font,6.626,8728.072,2.702,12,4
gfx/skia/include/utils/SkParsePaint,2.719,194.026,2.702,5,2
nsINetworkManager,1.73,0.0,0.682,0,0
tools/profiler/libunwind/src/src/mi/Ldyn-remote,1.73,0.0,2.702,0,1
gfx/skia/src/animator/SkDrawBlur,2.289,53.847,2.702,4,8
nsIDialogCreator,1.73,0.0,0.682,0,0
mozilla/plugins/PluginStreamChild,1.73,0.0,0.682,0,0
other-licenses/android/ev_streams,1.836,26.0,2.702,1,4
xpcom/string/public/nsString,228.124,192177.499,2.703,1039,17
js/src/ctypes/libffi/src/closures,1.73,0.0,2.701,0,1
layout/xul/base/src/nsRepeatService,2.107,24.036,2.702,5,10
media/webrtc/trunk/src/modules/rtp_rtcp/test/BWEStandAlone/BWETwoWayLimitFinding,2.186,18.467,2.702,2,6
security/nss/lib/smime/cmspubkey,1.785,2.827,2.702,1,20
intl/locale/public/nsLocaleCID,3.224,0.0,2.702,16,0
content/svg/content/src/nsSVGFeatures,2.409,10184.724,2.702,5,8
security/nss/lib/libpkix/pkix/params/pkix_valparams,5.14,1425.521,2.702,15,8
layout/svg/base/src/SVGFEImageFrame,1.749,2106.596,2.702,1,18
exec/types,1.73,0.0,0.682,0,0
ipc/glue/Transport,1.73,0.0,2.702,0,3
modules/freetype2/src/base/ftdbgmem,1.833,1.5,2.702,1,5
nsIMacShellService,1.73,0.0,0.682,0,0
js/src/methodjit/StubCompiler,1.996,37.235,2.702,2,10
xpcom/reflect/xptcall/src/md/unix/xptcstubs_pa32,1.73,0.0,2.702,0,9
toolkit/crashreporter/google-breakpad/src/client/minidump_file_writer-inl,3.211,10177.0,2.702,5,3
media/webrtc/trunk/testing/gtest/test/gtest_pred_impl_unittest,1.939,28.534,2.702,2,6
media/webrtc/trunk/src/modules/rtp_rtcp/test/BWEStandAlone/TestSenderReceiver,3.241,7321.317,2.702,7,16
tools/profiler/libunwind/src/src/ppc64/get_func_addr,1.73,0.0,2.702,0,2
ipc/ipdl/test/cxx/TestSysVShmem,2.196,0.0,2.702,1,4
media/libopus/silk/float/solve_LS_FLP,1.849,0.0,2.702,1,6
nsprpub/pr/src/md/unix/qnx,1.73,0.0,2.702,0,6
toolkit/crashreporter/google-breakpad/src/client/linux/android_link,1.73,0.0,0.682,0,0
intl/uconv/ucvlatin/nsUnicodeToISO885913,2.04,0.028,2.702,2,6
intl/chardet/public/nsICharsetDetector,3.339,2949.601,2.702,10,3
amrwb_interface,1.73,0.0,0.682,0,0
