node,page_rank,betweenness,closeness,indegree,outdegree
modules/freetype2/src/base/ftcalc,15.55,23352.949,3.411,40,8
nsIPrefService,2.251,0.0,0.948,0,0
nsIDialogCreator,2.251,0.0,0.948,0,0
ipc/chromium/src/base/gfx/platform_device_mac,2.251,0.0,0.948,0,0
nsIGenericFactory,2.251,0.0,0.948,0,0
other-licenses/atk-1.0/atk/atktable,3.151,303.818,3.411,3,2
ipc/chromium/src/base/base_drop_target,2.622,0.0,3.411,1,6
usr/include/bits/byteswap,2.251,0.0,0.948,0,0
ipc/chromium/src/base/string_util_unittest,2.251,0.0,3.412,0,16
net/base/io_buffer,2.251,0.0,0.948,0,0
extensions/universalchardet/src/base/EUCTWFreq,2.251,0.0,0.948,0,0
config/mkdepend/main,6.139,6469.094,3.411,9,11
tools/reorder/histogram,2.57,0.0,3.41,1,4
nsIDOMXPathNamespace,2.251,0.0,0.948,0,0
xpinstall/src/nsInstallTrigger,2.56,1534.466,3.412,4,35
layout/base/tests/TestPoisonArea,2.251,0.0,3.411,0,4
xpcom/base/nsIID,2.251,0.0,3.411,0,1
security/nss/lib/ckfw/builtins/certdata,2.443,0.5,3.411,1,5
netwerk/base/src/nsPreloadedStream,2.45,7.799,3.412,2,15
js/src/jsapi-tests/testParseJSON,2.251,0.0,3.411,0,13
nsILayoutDebuggingTools,2.251,0.0,0.948,0,0
gfx/thebes/gfxFontconfigUtils,2.574,193.649,3.412,5,26
widget/src/windows/JumpListItem,2.533,145.076,3.412,3,23
jsautocfg,2.251,0.0,0.948,0,0
usr/include/unicode/utf,2.251,0.0,0.948,0,0
dom/base/nsIJSEventListener,2.509,16.801,3.411,4,6
content/svg/content/src/SVGPointListSMILType,2.422,0.0,3.412,1,12
nsprpub/pr/src/io/prfile,33.017,47093.416,3.412,109,20
mozilla/dom/StructuredCloneTags,2.251,0.0,0.948,0,0
extensions/cookie/nsPopupWindowManager,2.701,305.592,3.412,2,13
security/nss/lib/libpkix/pkix_pl_nss/system/pkix_pl_hashtable,8.273,6401.882,3.411,11,13
layout/mathml/nsMathMLmspaceFrame,2.357,698.95,3.412,2,25
nsIScreenManager,2.251,0.0,0.948,0,0
modules/zlib/src/inffixed,2.591,0.0,3.41,2,1
gfx/thebes/GLContextProviderWGL,2.251,0.0,3.412,0,21
js/src/nanojit/Native,2.251,0.0,3.41,0,1
ipc/chromium/src/base/gfx/platform_canvas_linux,2.251,0.0,0.948,0,0
usr/include/ft2build,2.251,0.0,0.948,0,0
intl/locale/src/unix/nsDateTimeFormatUnix,2.458,349.72,3.412,2,28
mozilla/css/Rule,2.251,0.0,0.948,0,0
widget/src/cocoa/nsMenuUtilsX,2.251,0.0,3.411,0,4
nsIDownloadManager,2.251,0.0,0.948,0,0
gfx/cairo/cairo/src/cairo-pdf-surface-private,2.293,0.143,3.411,1,9
security/nss/lib/ssl/preenc,2.469,0.792,3.411,2,2
security/nss/lib/base/libc,8.419,4100.531,3.412,18,6
media/libvorbis/lib/vorbis_bitrate,2.599,4.268,3.411,3,8
security/nss/lib/freebl/mpi/utils/bbs_rand,6.098,3285.002,3.411,3,4
linux/ashmem,2.251,0.0,0.948,0,0
ipc/chromium/src/chrome/common/native_web_keyboard_event_win,2.251,0.0,3.411,0,1
gfx/angle/src/common/debug,21.456,1015.564,3.411,23,2
