node,page_rank,betweenness,closeness,indegree,outdegree
netwerk/cache2/CacheFileContextEvictor,1.34,2.501,1.667,2,30
modules/freetype2/src/smooth/ftspic,4.934,0.333,0.47,4,2
nsprpub/pr/tests/poll_to,1.271,0.0,1.667,0,17
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/split_vq,1.685,28336.0,1.667,1,4
gfx/angle/src/compiler/translator/UnfoldShortCircuit,1.55,0.0,1.667,2,6
mozilla/gfx/BaseMargin,1.271,0.0,0.47,0,0
dom/media/omx/AudioOffloadPlayer,1.297,0.0,1.667,1,42
mozilla/_ipdltest/IPDLUnitTests,1.271,0.0,0.47,0,0
gfx/ots/src/cvt,1.774,0.0,1.667,1,3
mozilla/InternalMutationEvent,1.271,0.0,0.47,0,0
mozilla/dom/ServiceWorkerGlobalScopeBinding,1.271,0.0,0.47,0,0
nsprpub/pr/src/misc/prerrortable,8.381,9789.537,1.667,49,5
media/webrtc/trunk/testing/gtest/test/gtest-printers_test,36.515,962294.4,1.667,31,21
dom/power/Types,1.964,0.0,1.667,3,1
skia/SkBarriers_x86,1.271,0.0,0.47,0,0
js/src/devtools/Instruments,8.475,0.0,0.47,1,1
mozilla/_ipdltest/PTestSysVShmemChild,1.271,0.0,0.47,0,0
media/webrtc/trunk/webrtc/common_audio/signal_processing/spl_sqrt_floor_mips,1.271,0.0,1.667,0,2
mozilla/TypeTraits,1.271,0.0,0.47,0,0
modules/freetype2/src/base/ftobjs,1.524,0.0,1.666,1,1
usr/include/X11/extensions/Xdamage,1.271,0.0,0.47,0,0
js/src/jit/mips/LOpcodes-mips,1.271,0.0,0.47,0,0
third_party/libyuv/include/libyuv/convert,1.271,0.0,0.47,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/test/iLBC_testprogram,1.287,1078419.483,1.667,1,12
mozilla/net/PWebSocketChild,1.271,0.0,0.47,0,0
gfx/graphite2/src/inc/Segment,7.323,75704.576,1.667,28,20
dom/time/TimeChangeObserver,1.398,15.317,1.667,2,14
intl/icu/source/i18n/rematch,1.734,13419.382,1.667,5,30
security/certverifier/NSSCertDBTrustDomain,1.725,17893.06,1.667,10,57
memory/jemalloc/src/test/unit/bitmap,1.271,0.0,1.667,0,3
security/manager/boot/src/nsSTSPreloadList,1.271,0.0,0.47,0,0
layout/svg/nsSVGMaskFrameNEON,1.614,0.0,1.667,1,4
security/nss/lib/freebl/mpi/tests/mptest-5,1.271,0.0,1.667,0,1
gfx/angle/src/libGLESv2/resource,1.271,0.0,0.47,0,0
intl/icu/source/i18n/currpinf,1.504,5765.219,1.667,2,19
security/nss/tests/pkcs11/netscape/suites/security/pkcs11/pkcs11,1.406,0.0,1.667,2,1
media/libvpx/vp9_rtcd_generic-gnu,1.271,0.0,1.667,0,19
media/libvpx/vp9/common/vp9_thread,1.801,0.048,1.667,4,4
sys/inttypes,1.271,0.0,0.47,0,0
security/sandbox/chromium/base/process/process_handle,1.415,9.517,1.667,1,6
media/libstagefright/binding/H264,1.931,14214.623,1.667,4,13
uriloader/exthandler/android/nsExternalURLHandlerService,1.422,0.0,1.667,1,8
accessible/base/Logging,1.306,0.0,1.667,1,32
build/stlport/stlport/stl/_prolog,44.149,1452.843,1.667,9,3
mach-o/nlist,1.271,0.0,0.47,0,0
media/libvpx/vpx_scale/generic/yv12config,2.79,960.772,1.667,10,6
gfx/skia/trunk/src/effects/SkLayerRasterizer,1.385,1192.616,1.667,1,34
gfx/skia/trunk/src/core/SkFont,1.271,0.0,1.667,0,14
mozilla/gfx/SharedDIBWin,1.271,0.0,0.47,0,0
skia/SkGradientShader,1.271,0.0,0.47,0,0
dom/workers/ServiceWorkerRegistrar,1.435,535.282,1.667,3,30
gfx/skia/trunk/src/ports/SkMutex_pthread,1.271,0.0,1.667,0,1
media/webrtc/trunk/webrtc/modules/video_render/ios/video_render_ios_channel,1.451,314.06,1.667,1,3
mozilla/dom/cache/PCacheStorageParent,1.271,0.0,0.47,0,0
gfx/graphite2/src/inc/UtfCodec,2.42,42503.554,1.667,4,3
dom/media/webm/WebMDecoder,1.614,0.0,1.667,1,4
xpcom/reflect/xptcall/md/unix/xptcstubs_linux_s390x,1.271,0.0,1.667,0,8
media/libvorbis/lib/modes/residue_44u,2.503,13.848,1.667,5,5
ipc/ipdl/test/cxx/IPDLUnitTestProcessChild,1.481,0.0,1.667,1,6
usr/include/asm/unistd,1.271,0.0,0.47,0,0
security/nss/lib/libpkix/include/pkix_crlsel,2.016,0.0,1.667,5,1
security/nss/lib/freebl/mpi/utils/hex2dec,1.271,0.0,1.667,0,2
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/get_lsp_poly,1.718,9.6,1.667,1,2
js/public/Vector,1.271,0.0,1.667,0,1
security/nss/lib/softoken/legacydb/lgdb,1.851,985.857,1.667,10,13
dom/xslt/xpath/XPathExpression,1.32,0.0,1.667,1,23
dom/animation/Animation,2.021,42281.371,1.667,3,25
mozilla/dom/TVChannel,1.271,0.0,0.47,0,0
dom/media/StreamBuffer,5.193,9641.975,1.667,31,8
