node,page_rank,betweenness,closeness,indegree,outdegree
nsprpub/pr/src/cplus/rclock,2.759,258.195,2.433,6,6
media/webrtc/signaling/src/sipcc/cpr/win32/cpr_win_threads,1.676,0.0,2.433,0,9
js/src/jsapi-tests/testJSEvaluateScript,1.676,0.0,2.433,0,4
js/src/ion/Lowering,2.332,156628.834,2.432,6,18
xpcom/tests/TestCallTemplates,1.676,0.0,2.433,0,14
webkit/glue/webappcachecontext,1.676,0.0,0.622,0,0
usr/include/asm/ptrace,1.676,0.0,0.622,0,0
atomic_ops,1.676,0.0,0.622,0,0
gfx/skia/src/core/SkBitmapProcState,5.115,100152.715,2.433,15,27
accessible/src/xpcom/xpcAccessibleTable,2.39,62.944,2.433,5,13
nsICookie2,1.676,0.0,0.622,0,0
media/webrtc/trunk/src/common_audio/vad/vad_sp,2.906,0.333,2.432,3,4
usr/include/bits/sigstack,1.676,0.0,0.622,0,0
nsprpub/pr/include/prvrsion,3.755,0.0,2.433,6,1
security/nss/lib/certdb/certdb,11.266,257284.495,2.433,121,63
nsIDOMSVGAnimatedPoints,1.676,0.0,0.622,0,0
toolkit/crashreporter/google-breakpad/src/client/windows/tests/crash_generation_app/abstract_class,12.029,0.0,2.432,2,1
hal/fallback/FallbackWakeLocks,1.676,0.0,2.432,0,1
gfx/angle/samples/gles2_book/MipMap2D/MipMap2D,1.676,0.0,2.433,0,7
usr/include/bits/resource,1.676,0.0,0.622,0,0
security/nss/lib/zlib/uncompr,2.861,117156.382,2.433,5,5
dom/base/nsLocation,1.777,19.016,2.433,3,37
accessible/src/windows/ia2/ia2AccessibleHypertext,1.95,177.5,2.433,2,9
skia/SkDevice,1.676,0.0,0.622,0,0
T2EmbApi,1.676,0.0,0.622,0,0
userenv,1.676,0.0,0.622,0,0
js/src/ctypes/CTypes,3.04,16334.747,2.433,3,28
cns_1,1.676,0.0,0.622,0,0
base/pblock,1.676,0.0,0.622,0,0
media/webrtc/trunk/src/test/libtest/helpers/random_encryption,2.852,2.685,2.432,2,3
nsIIDBFactory,1.676,0.0,0.622,0,0
security/nss/lib/freebl/mpi/tests/mptest-2,1.676,0.0,2.432,0,1
modules/freetype2/include/freetype/internal/t1types,1.676,0.0,2.432,0,7
gfx/skia/include/views/SkBGViewArtist,1.806,0.167,2.432,1,7
media/webrtc/trunk/src/modules/rtp_rtcp/source/ssrc_database,1.965,17.667,2.433,2,8
media/webrtc/trunk/src/voice_engine/test/auto_test/voe_unit_test,1.935,10894.56,2.433,2,17
content/xslt/src/base/txStack,2.378,13.787,2.433,5,3
usr/include/unicode/datefmt,1.676,0.0,0.622,0,0
ipc/chromium/src/chrome/common/x11_util,16.879,274279.041,2.433,34,10
db/sqlite3/src/sqlite3,4.942,612925.534,2.433,12,10
media/webrtc/trunk/src/modules/audio_device/main/source/dummy/audio_device_utility_dummy,1.788,0.0,2.432,1,3
nsIDOMGetSVGDocument,1.676,0.0,0.622,0,0
media/webrtc/signaling/src/sipcc/core/sdp/sdp_attr_access,2.418,11043.438,2.433,6,12
modules/freetype2/src/cache/ftccback,2.786,35.1,2.432,7,11
security/nss/lib/ssl/sslreveal,1.998,159.181,2.433,6,13
js/src/ctypes/libffi/src/x86/ffitarget,1.676,0.0,0.622,0,0
