node,page_rank,betweenness,closeness,indegree,outdegree
gfx/harfbuzz/src/hb-ot-maxp-table,2.108,2.827,1.963,2,4
content/events/src/nsDOMCompositionEvent,1.652,202.386,1.963,2,17
gfx/skia/include/utils/SkWGL,1.932,8.5,1.962,2,1
dom/gamepad/Gamepad,1.666,296.056,1.963,2,23
dom/camera/DOMCameraManager,2.046,4691.666,1.963,7,31
intl/icu/source/common/uscript,1.742,229.376,1.963,4,15
dom/base/nsDOMCID,2.543,0.0,1.962,19,0
xpcom/string/public/string-template-def-char,25.48,38591.574,1.962,14,6
mfbt/double-conversion/bignum-dtoa,2.329,6463.778,1.962,2,5
security/nss/tests/pkcs11/netscape/suites/security/ssl/sslt,1.917,272246.863,1.963,4,41
dom/ipc/PCOMContentPermissionRequestChild,1.728,0.0,1.962,6,0
mozilla/dom/MozStkCommandEvent,1.536,0.0,0.524,0,0
media/libvpx/vp9/common/vp9_postproc,2.204,18619.694,1.963,3,16
widget/gonk/libui/Trace,1.577,6.0,1.962,1,2
editor/libeditor/html/nsHTMLEditRules,1.617,7121.643,1.963,3,57
media/webrtc/trunk/webrtc/test/libtest/include/bit_flip_encryption,2.553,3.894,1.962,3,2
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/main/source/decode_bwe,1.66,0.0,1.963,1,8
gfx/skia/src/gpu/GrPath,2.178,31.658,1.963,7,11
dom/camera/GonkCameraListener,1.675,3.0,1.962,2,2
build/stlport/stlport/stl/_function_adaptors,37.412,1194.094,1.962,9,2
media/webrtc/trunk/webrtc/video_engine/test/auto_test/source/vie_autotest_render,2.126,7577.119,1.963,5,17
gfx/skia/include/ports/SkTypeface_mac,1.558,0.0,1.962,1,2
js/src/jsapi-tests/testPropCache,1.536,0.0,1.962,0,3
mozilla/StaticMutex,1.536,0.0,0.524,0,0
intl/uconv/ucvibm/nsUnicodeToCP869,1.749,0.0,1.963,1,7
netwerk/base/src/LoadContextInfo,1.944,421.433,1.963,6,10
usr/include/wchar,1.536,0.0,0.524,0,0
dom/base/nsIDOMClassInfo,3.893,2900.316,1.963,17,14
other-licenses/android/memcluster,1.852,0.0,1.962,1,0
usr/include/openssl/ssl,1.536,0.0,0.524,0,0
widget/nsIDragSessionOS2,1.616,0.213,1.962,2,4
gfx/layers/opengl/GLManager,1.719,0.0,1.962,1,8
mach/task,1.536,0.0,0.524,0,0
intl/uconv/public/uconvutil,34.926,1.567,1.962,144,1
mozilla/_ipdltest/PTestBridgeMainParent,1.536,0.0,0.524,0,0
gfx/skia/src/core/SkGeometry,3.091,15175.921,1.963,13,12
gfx/skia/include/core/SkBitmap,39.109,72171.335,1.963,204,24
intl/icu/source/i18n/sortkey,1.536,0.0,1.963,0,12
js/xpconnect/shell/xpcshellMacUtils,1.536,0.0,0.524,0,0
ipc/chromium/src/base/message_pump_glib,2.139,569.203,1.962,4,12
js/src/vm/BooleanObject,4.105,3.387,1.962,7,4
media/libvorbis/lib/books/coupled/res_books_stereo,2.76,5.465,1.962,3,2
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/bgn_update,1.605,105.426,1.963,1,12
gfx/layers/opengl/CompositingRenderTargetOGL,1.641,0.0,1.963,2,17
content/canvas/src/WebGLExtensionDebugRendererInfo,1.614,1.984,1.962,1,4
security/sandbox/win/src/policy_broker,2.71,12111.326,1.962,11,16
intl/icu/source/i18n/transreg,1.633,233.01,1.963,2,36
