node,page_rank,betweenness,closeness,indegree,outdegree
js/src/gc/StoreBuffer,1.448,0.0,0.508,0,0
accessible/src/windows/msaa/XULTreeGridAccessibleWrap,1.558,0.0,1.834,1,12
media/mtransport/third_party/nrappkit/src/port/generic/include/sys/queue,1.448,0.0,1.834,0,1
mozIThirdPartyUtil,1.448,0.0,0.508,0,0
media/webrtc/trunk/webrtc/modules/audio_device/opensl/opensles_common,1.448,0.0,1.834,0,1
nsIDOMClientRectList,1.448,0.0,0.508,0,0
js/HashTable,1.448,0.0,0.508,0,0
usr/include/pulse/sample,1.448,0.0,0.508,0,0
security/nss/lib/freebl/secmpi,2.152,3385.606,1.834,8,3
gfx/layers/composite/LayerManagerComposite,3.323,186518.989,1.834,15,45
gfx/layers/ReadbackProcessor,2.424,1005.875,1.834,10,19
gfx/skia/trunk/src/pathops/SkIntersections,3.299,11968.268,1.834,12,16
usr/include/unicode/uclean,1.448,0.0,0.508,0,0
netwerk/protocol/rtsp/rtsp/AMPEG4ElementaryAssembler,1.663,167.264,1.834,2,14
content/media/fmp4/ffmpeg/include/libavutil/audioconvert,1.697,0.0,1.834,1,0
nsIDOMHTMLButtonElement,1.448,0.0,0.508,0,0
gfx/cairo/cairo/src/cairo-array,7.751,4092.134,1.834,15,10
widget/cocoa/nsMenuUtilsX,1.448,0.0,1.834,0,3
rdf/build/nsRDFCID,3.13,0.0,1.834,28,0
nsIAppShellService,1.448,0.0,0.508,0,0
nsIAudioManager,1.448,0.0,0.508,0,0
media/libopus/silk/sigm_Q15,1.69,0.0,1.834,3,3
security/nss/cmd/lowhashtest/lowhashtest,1.448,0.0,1.834,0,11
gfx/skia/trunk/src/effects/SkCornerPathEffect,1.552,258.94,1.834,1,17
memory/jemalloc/src/include/jemalloc/internal/rtree,1.448,0.0,0.508,0,0
gfx/harfbuzz/src/hb-ot-name-table,1.499,0.0,1.834,1,5
gfx/thebes/nsUnicodeRange,6.24,0.917,1.834,5,3
gfx/harfbuzz/src/hb-unicode-private,6.572,16079.108,1.834,19,6
media/mtransport/third_party/nrappkit/src/registry/registry_local,2.278,32678.9,1.834,5,17
dom/xslt/xpath/txXPathObjectAdaptor,1.575,0.333,1.834,2,7
xpcom/glue/nsThreadIDs,1.448,0.0,0.508,0,0
nsIControllers,1.448,0.0,0.508,0,0
modules/freetype2/src/cache/ftcmru,10.3,0.325,1.834,8,2
js/src/jit/IonCode,20.991,67980.645,1.834,50,19
media/webrtc/trunk/webrtc/system_wrappers/interface/sleep,8.329,0.0,1.834,23,0
modules/freetype2/include/ftlist,1.448,0.0,1.834,0,5
media/libopus/silk/float/solve_LS_FLP,1.548,0.25,1.834,1,7
gfx/skia/trunk/src/gpu/GrBinHashKey,1.743,0.0,1.834,3,5
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/acm_cng,1.645,1217.447,1.834,2,14
security/sandbox/chromium/base/compiler_specific,7.914,436.882,1.834,14,3
intl/icu/source/tools/toolutil/ucm,1.844,286.877,1.834,5,20
mozilla/dom/HTMLSharedListElement,1.448,0.0,0.508,0,0
netwerk/protocol/http/SpdyPush3,1.656,331.63,1.834,4,23
gfx/layers/ipc/LayerTransactionChild,3.231,7143.716,1.834,6,6
mfbt/NumericLimits,1.448,0.0,0.508,0,0
gfx/skia/trunk/src/effects/SkLayerDrawLooper,1.562,195.809,1.834,3,30
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/isac/main/source/arith_routines,2.564,0.143,1.834,5,5
security/nss/lib/zlib/gzguts,8.203,3007.39,1.834,9,5
media/libtremor/lib/codebook,13.783,18667.035,1.834,23,2
security/sandbox/linux/android_ucontext,1.448,0.0,0.508,0,0
gfx/angle/src/libGLESv2/renderer/TextureStorage9,1.724,31.549,1.834,4,16
mozilla/dom/Link,1.448,0.0,0.508,0,0
