file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
content/svg/content/src/SVGFESpecularLightingElement.cpp,101,1,9,1,0.16
layout/svg/nsSVGUtils.h,616,1,8,1,1.33
layout/svg/nsSVGFilterInstance.h,341,1,9,0,1.53
content/svg/content/src/nsSVGElement.h,714,1,27,0,0.19
ipc/chromium/src/base/trace_event.h,126,0,0,0,0.68
ipc/chromium/src/build/build_config.h,119,0,0,0,0.00
ipc/chromium/src/base/lock.h,75,1,11,0,0.49
ipc/chromium/src/base/scoped_ptr.h,380,1,39,1,0.74
ipc/chromium/src/base/singleton.h,181,2,6,2,1.67
ipc/chromium/src/base/time.h,484,1,66,0,0.43
ipc/chromium/src/base/timer.h,271,2,19,2,0.77
build/stlport/stlport/stl/_cprolog.h,25,0,0,0,0.00
intl/icu/source/common/unicode/locid.h,798,0,0,0,0.00
toolkit/crashreporter/google-breakpad/src/processor/process_state.cc,67,2,2,1,1.57
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/process_state.h,175,1,13,0,1.82
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/call_stack.h,77,1,2,0,3.13
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/code_modules.h,98,1,1,0,4.86
layout/build/nsContentDLF.cpp,461,6,13,4,0.17
xpcom/glue/nsCOMPtr.h,1604,1,98,1,0.37
layout/build/nsContentDLF.h,91,0,0,0,0.11
docshell/base/nsDocShell.h,926,2,11,2,0.69
content/html/content/src/nsGenericHTMLElement.h,1824,1,153,3,0.58
content/base/src/nsGkAtoms.h,34,0,0,0,3.40
content/base/public/nsIDocument.h,2615,1,134,1,0.91
content/base/src/nsNodeInfo.h,103,2,6,1,0.35
content/base/src/nsNodeInfoManager.h,140,1,10,1,0.73
xpcom/string/public/nsString.h,225,1,16,0,0.28
content/base/public/nsContentCID.h,178,0,0,0,0.00
nsprpub/pr/include/prprf.h,122,0,0,0,5.73
netwerk/base/public/nsNetUtil.h,2412,4,97,4,0.20
xpcom/ds/nsCRT.h,170,1,17,1,0.89
content/base/public/nsContentUtils.h,2337,1,26,1,1.58
image/src/imgLoader.h,486,1,21,1,0.16
parser/nsCharsetSource.h,25,0,0,0,0.00
netwerk/mime/nsMimeTypes.h,210,0,0,0,0.00
content/media/DecoderTraits.h,69,0,0,0,0.92
dom/plugins/base/nsPluginHost.h,333,2,3,1,0.18
xpcom/glue/nsID.h,143,1,1,0,3.39
xpcom/glue/nsDebug.h,422,1,1,0,10.75
xpcom/glue/nsISupportsImpl.h,1456,1,29,1,1.56
xpcom/base/nscore.h,367,0,0,0,134.00
xpcom/glue/nsStringAPI.h,1443,1,178,1,0.31
xpcom/base/nsError.h,249,1,4,0,3.71
content/base/public/nsINameSpaceManager.h,72,1,1,0,1.50
xpcom/glue/nsISupportsUtils.h,152,3,2,1,3.10
security/sandbox/chromium/base/time/time_win.cc,532,2,39,2,0.55
security/sandbox/chromium/base/time/time.h,682,1,72,0,0.57
security/sandbox/chromium/base/basictypes.h,369,1,3,0,5.50
security/sandbox/chromium/base/cpu.h,81,1,18,0,0.24
security/sandbox/chromium/base/logging.h,1022,2,21,1,2.74
security/sandbox/chromium/base/memory/singleton.h,285,2,7,2,1.85
security/sandbox/chromium/base/synchronization/lock.h,140,1,8,1,0.51
security/sandbox/chromium/base/port.h,54,0,0,0,0.00
netwerk/srtp/src/crypto/include/crypto_math.h,239,0,0,0,1.12
netwerk/srtp/src/crypto/include/datatypes.h,508,1,1,0,1.57
