node,page_rank,betweenness,closeness,indegree,outdegree
gfx/angle/src/libGLESv2/Shader,4.041,482058.332,3.285,5,10
js/src/yarr/YarrInterpreter,5.154,51.486,3.285,4,6
ipc/chromium/src/chrome/common/bindings_policy,2.513,0.0,0.859,0,0
security/nss/lib/util/pkcs11p,26.996,0.0,3.285,3,0
layout/style/nsRuleData,7.756,3511.763,3.286,44,12
xpcom/string/public/nsCharTraits,76.541,4511.156,3.286,53,5
mozilla/gfx/Types,2.513,0.0,0.859,0,0
nsIDOMUserDataHandler,2.513,0.0,0.859,0,0
editor/libeditor/html/nsHTMLObjectResizer,2.708,16120.516,3.286,3,31
toolkit/crashreporter/google-breakpad/src/common/solaris/guid_creator,3.942,16.5,3.285,3,4
security/nss/lib/smime/cmsdigest,3.511,10695.0,3.286,7,17
mozglue/linker/CustomElf,3.193,0.0,3.286,2,8
media/libjpeg/jdapistd,3.054,55.412,3.285,3,7
gfx/cairo/cairo/src/cairo-pdf-operators-private,3.188,13.132,3.285,4,3
widget/public/LookAndFeel,2.513,0.0,3.286,0,4
gfx/skia/third_party/glu/libtess/sweep,4.958,1619.086,3.285,3,12
layout/mathml/nsMathMLAtoms,2.706,0.0,3.285,3,1
intl/uconv/src/nsConverterOutputStream,2.705,1600.962,3.286,2,14
webkit/glue/resource_loader_bridge,2.513,0.0,0.859,0,0
usr/include/X11/keysym,2.513,0.0,0.859,0,0
other-licenses/snappy/src/snappy-c,4.37,0.0,3.285,1,2
ipc/chromium/src/chrome/common/chrome_constants,5.057,3.643,3.285,4,3
modules/freetype2/src/gzip/inffixed,3.072,0.0,3.285,1,3
nsIWebProgress,2.513,0.0,0.859,0,0
nsIPrefService,2.513,0.0,0.859,0,0
modules/freetype2/src/pshinter/pshnterr,3.016,6.238,3.285,2,3
embedding/browser/webBrowser/nsCommandHandler,3.037,191.1,3.286,3,15
intl/chardet/src/nsChardetModule,2.513,0.0,3.285,0,8
security/nss/lib/freebl/rijndael_tables,2.513,0.0,3.286,0,2
ldfcn,2.513,0.0,0.859,0,0
media/libtremor/lib/os,5.027,3.5,3.285,5,1
mozilla/dom/sms/PSmsChild,2.513,0.0,0.859,0,0
nsIDOMHTMLAreaElement,2.513,0.0,0.859,0,0
ipc/chromium/src/chrome/common/child_process_host,3.225,8898.757,3.286,4,24
layout/svg/base/src/nsISVGGlyphFragmentNode,2.938,0.182,3.286,5,2
mozilla/_ipdltest/PTestShutdownSubsubParent,2.513,0.0,0.859,0,0
gfx/cairo/cairo/src/cairo-malloc-private,18.197,2494.195,3.286,47,3
xpcom/ds/TimeStamp_posix,2.513,0.0,3.285,0,3
modules/freetype2/include/freetype/ftsynth,2.704,0.0,3.285,2,3
mozilla/_ipdltest/PTestHandleChild,2.513,0.0,0.859,0,0
gfx/cairo/cairo/test/text_rotate,2.513,0.0,3.285,0,4
accessible/src/atk/nsMaiInterfaceText,3.8,1181.362,3.286,3,22
toolkit/components/feeds/nsScriptableUnescapeHTML,2.56,0.0,3.286,1,46
nsIDOMXULTreeElement,2.513,0.0,0.859,0,0
gfx/cairo/cairo/src/test-meta-surface,2.746,0.0,3.285,1,10
nsIUnicodeNormalizer,2.513,0.0,0.859,0,0
CoreFoundation/CFDate,2.513,0.0,0.859,0,0
ipc/chromium/src/chrome/common/mach_ipc_mac,2.513,0.0,3.286,0,2
content/smil/nsDOMTimeEvent,2.683,0.763,3.286,2,17
rdf/base/src/nsRDFXMLDataSource,2.606,423.392,3.286,1,33
xpcom/ds/nsSupportsPrimitives,3.335,1194.076,3.286,9,26
gfx/skia/include/core/SkDraw,5.868,11855.057,3.285,17,23
mfbt/Types,2.513,0.0,0.859,0,0
gfx/skia/src/opts/SkBitmapProcState_opts_SSE2,3.368,6.546,3.285,2,7
toolkit/components/places/nsFaviconService,3.009,10229.536,3.286,6,41
ipc/chromium/src/base/file_descriptor_shuffle_unittest,2.513,0.0,3.285,0,2
nsISmsService,2.513,0.0,0.859,0,0
modules/zlib/src/mozzconf,32.272,0.0,3.285,18,0
accessible/src/msaa/nsRootAccessibleWrap,2.664,0.0,3.286,1,15
gfx/skia/include/views/SkOSWindow_SDL,2.614,0.0,3.285,1,7
content/html/content/src/nsHTMLHRElement,2.513,0.0,3.286,0,25
security/nss/cmd/vfyserv/vfyutil,2.572,37.036,3.286,1,39
content/base/src/nsNodeInfo,3.161,1208.293,3.286,4,30
dom/base/nsDOMWindowUtils,2.776,26625.377,3.286,3,81
intl/uconv/src/nsMacRomanToUnicode,2.96,0.033,3.286,2,6
gfx/skia/src/svg/SkSVGEllipse,2.892,274.239,3.285,2,9
layout/style/NameSpaceRule,2.513,0.0,3.285,0,2
nsIContentSniffer,2.513,0.0,0.859,0,0
layout/inspector/src/inDOMUtils,2.587,8.535,3.286,2,38
js/src/jstypedarray,10.98,15370.333,3.286,25,35
toolkit/crashreporter/google-breakpad/src/client/mac/tests/minidump_generator_test_helper,2.513,0.0,3.285,0,3
nsIGConfService,2.513,0.0,0.859,0,0
nsIDOMElementCSSInlineStyle,2.513,0.0,0.859,0,0
