bug_id,crashed_date
45663,20110808084700
46556,20110808084700
50006,20110613130500
50182,20110613021300
50942,20110613015800
52827,20110613020400
53094,20110613091800
53219,20110616005700
53670,20110614163800
54004,20110620151800
55537,20120520080900
56713,20110715122300
57096,20110613000700
58256,20110731133100
59203,20110613082800
59686,20110613011600
70543,20110613003500
73311,20120218024600
73331,20110616005700
75388,20110703151000
76226,20110613014800
76936,20110703134700
77362,20110630135200
77716,20141209084300
78442,20110613015800
79371,20110802145600
80105,20111109110200
80512,20110823140900
81273,20110613131100
81905,20110621194800
82219,20110730003700
82401,20110707123400
83532,20110613030300
83805,20120314110900
84832,20110616085100
85206,20110620154300
85228,20110613012300
87223,20110613012200
87610,20110729174900
88333,20110621055800
88849,20130115131300
90196,20120213183300
90379,20110627010500
92215,20110614020600
94546,20110613040300
95420,20110614020600
95422,20110619234300
95489,20110629200600
97226,20110715024200
97444,20110613131100
97664,20110613040300
97970,20110614085900
98182,20110617173400
98736,20110621102900
98901,20110613000200
99052,20140929075200
99354,20120430014500
100213,20120816181800
100216,20110729134400
100222,20110613014200
100273,20110613003500
102111,20120131152700
102585,20110712045000
102936,20110616222900
103250,20110615130200
105275,20150327071200
106046,20110613000200
106097,20110729080800
106568,20110613060600
106650,20110622181300
107545,20110621194800
108098,20110613112100
110395,20110615131200
110404,20111021223400
117088,20110617020500
118014,20110613003500
119693,20110613001700
120629,20110622180800
120639,20111024224200
121860,20110628133500
123475,20110613062300
131841,20110613133500
133009,20100226113500
133219,20110613143900
133238,20110614212400
133392,20141011012700
133548,20110618121000
133669,20110703123500
134437,20110616130600
134769,20110619021800
135345,20110613185700
135498,20110713172200
135868,20110619065700
136245,20110728112000
136248,20110728112000
136746,20110616130600
137112,20110614012000
139817,20110921155900
140368,20111007074300
140756,20110613014200
142310,20120501044500
142542,20110615015500
143824,20110906104800
144479,20110613003200
144492,20110613091800
146308,20111118024400
146797,20120116180000
146907,20110701230500
147460,20110620133700
148245,20110616195800
148889,20111029100200
149012,20110616231900
150464,20110630055300
151769,20140524233500
151956,20130115131300
152755,20110614020600
153762,20100204082200
153815,20110728065000
153979,20110614002100
154692,20100201102300
154699,20110923135400
154753,20120607001800
155340,20110620115600
155382,20120731102800
155413,20111030190800
156650,20110821173700
159468,20111115183600
160182,20101107214100
162516,20110703103100
162691,20110613050400
163323,20110613100600
164053,20111004061800
167673,20110705224200
167847,20110930060100
168523,20110617105100
169951,20110616093300
170674,20111212002700
171781,20111106122700
171789,20130218220700
172754,20110613090300
176257,20110613174300
177584,20110613213100
177796,20120606210700
179524,20110613005400
180187,20110614101000
180309,20110614012000
182803,20110613022800
183382,20130215033100
192414,20110613025200
193750,20110613090300
194952,20110613143900
195011,20110703123500
196012,20140726163000
198267,20110712185500
198399,20111018040300
199541,20110704113400
199550,20110621083500
203041,20110807221700
204931,20120118231100
205735,20110620143800
208095,20110811110700
209575,20110613023800
209598,20120812050500
211260,20140702003200
211629,20100201203300
211979,20120820013700
212219,20120603075200
212364,20120705100700
215274,20121129193900
218556,20110614085800
219006,20120807031900
219107,20100201005700
223144,20110613052300
223166,20120712003800
223273,20110613024400
228630,20111125004700
231776,20110613091600
232384,20120305132200
234620,20110625145900
237760,20110616195800
238322,20120902013000
238906,20110705081900
239572,20111011041300
240757,20110614012000
241068,20110617153800
241285,20110822074200
242999,20110613090100
243174,20110613034500
243809,20120603075200
244454,20110729081200
244619,20110613012300
244758,20110807221700
245295,20110619003500
245310,20120831150000
245572,20110626100500
245631,20111127225200
245958,20150612060800
248479,20100201030000
248509,20110613081900
250900,20110613160700
251360,20130206161500
252828,20110613031100
253479,20110616231900
253625,20120901115400
254161,20100823012200
255498,20100201041000
255605,20110613010100
255858,20111015041900
256297,20100330201500
258843,20110705015300
260196,20121117055600
262095,20120816181700
262468,20110613111800
264956,20110613003500
265736,20120229220200
265899,20110616221500
267863,20141216163800
269568,20110126084200
269801,20110613010700
270042,20100201000100
271669,20110721105900
272286,20110613001600
274425,20110624011600
275654,20110720024500
278086,20110613034800
280232,20100225105000
281098,20110623204900
282707,20110615164700
283140,20120502190800
283147,20110702083400
285982,20100202084600
286816,20140617110900
286987,20100225002000
287504,20110613170300
288500,20120806003100
288763,20110613065700
288790,20110613143900
291531,20110617153800
291902,20110713115600
292033,20110614050600
292549,20110619221200
293460,20110715122300
293974,20110614041800
294833,20111110140800
295666,20110613011600
298681,20100817160700
299419,20110618072600
300756,20110617190800
301097,20100201011300
301270,20140722131900
302536,20110703183100
302882,20100201000600
303511,20110616122700
303654,20110615101200
303794,20120612114200
303821,20110901060100
303823,20110626184900
303901,20110613014700
303924,20110613044500
304430,20110615035500
305181,20110823012500
305995,20110618184400
306319,20100201003900
306782,20110914134200
306787,20110617003600
306902,20110818041900
306911,20110621193200
307259,20111221210300
