attach_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree,crash_inducing
8478401,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.51,0.0,0.0,False
8403091,355.0,3.0,27.0,2.0,0.12,1.54,0.0,1.96,0.0,15.0,False
669861,1809.0,4.0,55.5,4.5,0.18,1.89,0.0,0.69,0.0,0.0,False
669878,115.0,1.0,1.0,0.0,1.33,1.89,0.0,0.69,0.0,0.0,False
8665274,8022.0,4.0,166.0,3.5,0.21,6.2,68459.94,1.66,17.0,27.0,False
8665275,177.0,0.0,0.0,0.0,0.24,8.29,4.0,1.66,5.0,1.0,False
538817,327.0,4.5,10.0,3.0,0.64,2.66,544.95,3.33,2.0,43.0,False
8403149,834.0,9.0,9.0,7.0,0.29,3.19,1386847.07,1.96,20.0,104.0,False
800980,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.57,0.0,0.0,False
669913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
538847,1986.5,3.5,80.5,4.5,0.25,2.89,31989.4,3.33,7.0,96.0,False
800996,5064.0,3.0,313.0,6.0,0.15,1.57,0.0,0.57,0.0,0.0,False
669925,250.0,2.0,15.0,2.0,0.39,2.18,305.4,2.75,4.0,34.5,False
669930,39.0,1.0,1.0,0.0,0.38,1.89,0.0,0.69,0.0,0.0,False
669959,2557.0,2.5,103.5,4.0,0.43,7.05,1474.35,2.75,14.0,51.0,False
801032,714.5,4.0,37.5,4.5,0.27,1.64,0.47,2.15,1.5,25.0,False
8665353,784.0,2.0,21.0,4.0,0.23,3.09,12862.85,1.66,27.0,31.0,False
8665355,2684.0,4.0,133.0,5.0,0.05,6.8,61040.01,1.66,59.0,42.0,False
8665357,354.0,1.0,19.0,1.0,0.39,1.33,0.0,0.47,0.0,0.0,False
801048,6031.0,6.0,196.0,6.0,0.24,1.84,31222.18,2.15,5.0,65.0,False
