attach_id,hour,mozilla_reviewer,reviewer_exp,month,weekday,monthday,review_period,crash_inducing
8650753,15,False,1093,08,5,21,0.0,False
8650757,5,False,1460,08,3,26,5.2,False
655367,13,True,116,08,5,31,0.8,False
655368,10,False,834,08,2,28,2.5,False
8650767,23,False,1561,08,4,20,0.0,False
8519698,10,True,169,11,2,11,1.2,False
655379,8,False,1309,08,1,27,0.2,False
655380,2,False,320,08,1,27,0.0,False
8519701,15,True,954,11,1,10,0.4,False
8519704,6,False,1183,11,1,10,0.0,False
655391,2,False,1310,08,0,26,0.0,False
655394,3,False,836,08,0,26,0.0,False
8650795,1,False,606,08,5,21,0.0,False
8650796,21,False,4858,08,5,21,0.8,False
8519688,4,True,29,11,1,10,0.0,False
8650803,21,True,1538,08,5,28,7.8,False
524362,19,False,158,04,5,8,1.5,False
502455,23,False,117,01,1,10,0.5,False
524367,0,True,174,05,2,10,32.7,False
8650832,5,True,168,08,5,21,0.1,False
655446,23,False,3003,08,0,26,0.2,False
524378,14,False,84,04,1,25,18.1,False
524382,3,True,175,04,5,8,0.7,False
8519780,9,True,103,11,1,10,0.0,False
8650856,5,True,170,08,5,21,0.1,False
8388716,0,False,1120,09,2,23,196.2,False
786545,11,False,168,08,1,12,5.5,False
655479,23,False,60,08,2,28,1.9,False
8519700,5,False,59,11,1,10,0.0,False
8585237,1,False,5987,03,1,30,0.1,False
524417,18,False,443,04,5,22,15.1,False
611691,23,False,230,04,2,3,0.9,False
655494,3,False,3004,08,1,27,0.0,False
655495,3,False,3005,08,1,27,0.0,False
655513,5,False,3006,08,1,27,0.0,False
720922,19,True,295,03,3,6,1.8,False
8650912,11,False,4859,08,5,21,0.2,False
8650921,17,True,1545,08,5,21,0.4,False
524472,21,True,208,04,4,7,0.0,False
524473,21,True,209,04,4,7,0.0,False
8388794,23,True,1217,03,1,10,0.1,False
524475,21,True,210,04,4,7,0.0,False
524477,13,True,323,04,5,8,0.7,False
786630,9,True,85,08,3,7,0.4,False
524488,22,False,196,04,4,7,0.1,False
786636,3,False,3638,08,3,7,0.1,False
655567,21,False,1135,10,3,24,58.4,False
8519888,7,False,1473,11,4,13,0.0,False
786650,13,False,770,08,3,7,0.5,False
524522,14,False,365,04,1,18,10.7,False
8388843,10,True,377,03,2,11,0.5,False
8388844,10,True,378,03,2,11,0.5,False
655598,15,False,239,08,1,27,0.0,False
8650993,12,False,4861,08,5,21,0.0,False
8651003,14,False,4862,08,5,21,0.1,False
8519939,22,False,5356,11,3,12,2.3,False
8519941,22,False,5357,11,3,12,2.3,False
8519942,22,False,5358,11,3,12,2.3,False
8519951,3,False,5365,11,4,13,2.5,False
8519959,18,False,5366,11,1,10,0.1,False
8519960,8,True,135,11,3,12,1.7,False
8519961,2,True,136,11,2,11,0.5,False
8388893,1,False,1321,05,5,9,59.0,False
524574,6,False,1425,04,5,8,0.1,False
521995,23,False,591,03,5,25,0.0,False
8388904,3,True,48,03,2,11,0.1,False
655657,4,False,959,08,4,30,2.5,False
786740,9,False,2168,08,3,7,0.2,False
655674,22,False,1136,08,3,29,2.2,False
655675,20,True,2,08,1,27,0.1,False
8340609,9,True,751,11,6,30,0.0,False
786761,14,False,531,08,3,7,0.4,False
786762,14,False,532,08,3,7,0.3,True
786763,18,False,533,08,4,8,1.5,False
8651093,18,True,1541,08,1,24,3.1,False
655708,4,False,1137,08,2,28,0.4,False
786785,18,True,1575,08,3,7,0.5,False
8651113,17,True,1715,08,5,21,0.0,False
655724,12,False,1326,09,2,4,7.7,False
8651120,13,True,1716,08,1,24,2.9,False
8651121,17,False,1297,08,5,21,0.0,False
8651130,13,True,1717,08,1,24,2.9,False
655739,23,False,13,08,1,27,0.1,False
8651132,19,True,1384,08,5,21,0.1,False
8651134,17,True,576,08,5,21,0.0,False
524674,17,False,93,04,5,8,0.0,False
8651142,17,True,577,08,5,21,0.0,False
786829,14,True,453,08,3,7,0.2,False
8520079,19,False,1170,11,1,10,0.0,False
786834,14,True,454,08,3,7,0.2,False
8520097,19,True,1084,11,1,10,0.0,False
524722,11,False,188,04,0,10,1.6,False
8389050,10,False,308,03,2,11,0.1,False
8520123,21,False,476,11,1,10,0.0,False
524743,3,False,1426,04,6,9,0.2,False
8520136,1,True,275,11,0,16,5.2,False
8651209,20,True,1275,08,5,21,0.0,False
655824,10,False,838,08,2,28,0.5,False
8651222,22,False,563,08,3,26,5.1,False
699129,14,False,1179,01,2,8,0.1,False
8520152,21,True,351,11,1,10,0.0,False
8389081,10,True,262,03,2,11,0.0,False
655844,22,False,3010,08,2,28,0.1,False
655847,13,False,960,08,5,31,3.5,False
655872,4,False,962,08,2,28,0.0,False
786968,16,False,672,08,3,7,0.0,False
8389147,22,False,655,03,3,12,1.4,False
786981,11,True,455,08,4,8,0.8,False
8389159,17,True,151,03,2,11,0.1,True
633608,19,True,243,06,1,18,2.9,False
524851,2,True,76,04,4,14,0.6,False
8389172,17,False,309,03,2,11,0.1,False
786526,8,False,88,08,3,7,0.4,False
8520250,1,True,208,11,2,11,0.1,False
787005,0,True,302,08,6,10,2.3,False
524869,21,True,583,04,4,14,5.0,False
